dates;indices
1990-01;83.7
1990-02;89.56
1990-03;89.99
1990-04;91.37
1990-05;93.81
1990-06;89.73
1990-07;90.64
1990-08;90.71
1990-09;89.02
1990-10;90.31
1990-11;89.56
1990-12;91.81
1991-01;94.61
1991-02;94.76
1991-03;93.86
1991-04;94.24
1991-05;92.6
1991-06;91.78
1991-07;92.39
1991-08;92.7
1991-09;91.92
1991-10;92.22
1991-11;92.78
1991-12;92.0
1992-01;92.72
1992-02;93.11
1992-03;93.38
1992-04;94.36
1992-05;93.31
1992-06;93.6
1992-07;92.87
1992-08;90.25
1992-09;91.79
1992-10;90.78
1992-11;91.76
1992-12;92.16
1993-01;89.97
1993-02;91.43
1993-03;90.66
1993-04;90.43
1993-05;88.44
1993-06;90.21
1993-07;90.38
1993-08;91.08
1993-09;93.41
1993-10;91.34
1993-11;90.77
1993-12;89.14
1994-01;90.23
1994-02;89.61
1994-03;89.36
1994-04;89.15
1994-05;89.65
1994-06;90.28
1994-07;92.34
1994-08;98.03
1994-09;91.3
1994-10;91.36
1994-11;92.98
1994-12;92.75
1995-01;92.74
1995-02;92.66
1995-03;91.59
1995-04;92.89
1995-05;94.15
1995-06;95.15
1995-07;91.71
1995-08;93.9
1995-09;94.29
1995-10;94.59
1995-11;93.62
1995-12;93.22
1996-01;94.24
1996-02;95.37
1996-03;94.08
1996-04;94.22
1996-05;97.55
1996-06;94.21
1996-07;95.87
1996-08;95.95
1996-09;95.96
1996-10;96.11
1996-11;94.84
1996-12;97.39
1997-01;95.59
1997-02;96.14
1997-03;95.7
1997-04;99.07
1997-05;97.78
1997-06;97.26
1997-07;95.34
1997-08;98.09
1997-09;99.09
1997-10;100.53
1997-11;99.6
1997-12;102.11
1998-01;101.32
1998-02;99.95
1998-03;99.84
1998-04;98.29
1998-05;97.67
1998-06;97.58
1998-07;100.06
1998-08;96.73
1998-09;96.8
1998-10;97.49
1998-11;95.25
1998-12;96.88
1999-01;98.48
1999-02;97.19
1999-03;98.32
1999-04;96.11
1999-05;96.53
1999-06;98.04
1999-07;98.51
1999-08;96.17
1999-09;99.26
1999-10;100.68
1999-11;100.7
1999-12;95.03
2000-01;94.42
2000-02;95.63
2000-03;96.36
2000-04;97.68
2000-05;97.66
2000-06;95.97
2000-07;98.47
2000-08;98.76
2000-09;97.27
2000-10;97.19
2000-11;96.05
2000-12;97.84
2001-01;94.28
2001-02;96.2
2001-03;94.7
2001-04;99.45
2001-05;99.74
2001-06;98.27
2001-07;97.61
2001-08;98.94
2001-09;99.05
2001-10;99.76
2001-11;98.07
2001-12;99.99
2002-01;99.82
2002-02;100.7
2002-03;101.35
2002-04;98.78
2002-05;100.36
2002-06;97.9
2002-07;97.62
2002-08;101.38
2002-09;98.67
2002-10;98.86
2002-11;99.27
2002-12;98.72
2003-01;98.27
2003-02;97.86
2003-03;98.38
2003-04;99.3
2003-05;97.77
2003-06;98.49
2003-07;98.06
2003-08;95.16
2003-09;98.61
2003-10;97.3
2003-11;96.86
2003-12;98.44
2004-01;98.91
2004-02;97.61
2004-03;97.92
2004-04;96.8
2004-05;95.56
2004-06;97.73
2004-07;98.74
2004-08;96.11
2004-09;97.34
2004-10;97.08
2004-11;97.93
2004-12;95.9
2005-01;96.64
2005-02;95.84
2005-03;95.48
2005-04;95.46
2005-05;95.67
2005-06;95.5
2005-07;94.81
2005-08;97.04
2005-09;96.86
2005-10;96.64
2005-11;97.66
2005-12;96.32
2006-01;94.7
2006-02;95.05
2006-03;96.65
2006-04;96.33
2006-05;97.04
2006-06;95.18
2006-07;97.53
2006-08;97.19
2006-09;96.35
2006-10;97.3
2006-11;96.88
2006-12;97.74
2007-01;97.52
2007-02;97.42
2007-03;97.59
2007-04;99.5
2007-05;98.74
2007-06;98.52
2007-07;97.79
2007-08;100.34
2007-09;97.31
2007-10;99.88
2007-11;99.22
2007-12;100.14
2008-01;99.0
2008-02;98.85
2008-03;98.35
2008-04;99.02
2008-05;96.74
2008-06;95.97
2008-07;98.03
2008-08;96.98
2008-09;97.95
2008-10;97.48
2008-11;94.95
2008-12;99.21
2009-01;96.47
2009-02;97.66
2009-03;97.38
2009-04;96.83
2009-05;98.75
2009-06;98.6
2009-07;98.42
2009-08;96.85
2009-09;97.62
2009-10;96.05
2009-11;97.79
2009-12;96.21
2010-01;98.6
2010-02;98.0
2010-03;98.55
2010-04;96.79
2010-05;98.59
2010-06;97.7
2010-07;98.94
2010-08;97.37
2010-09;98.73
2010-10;98.92
2010-11;98.9
2010-12;96.93
2011-01;101.11
2011-02;100.81
2011-03;102.11
2011-04;100.17
2011-05;100.01
2011-06;102.56
2011-07;103.67
2011-08;100.92
2011-09;101.47
2011-10;101.39
2011-11;101.72
2011-12;99.22
2012-01;99.87
2012-02;100.41
2012-03;100.83
2012-04;101.23
2012-05;101.61
2012-06;101.39
2012-07;100.66
2012-08;100.87
2012-09;100.52
2012-10;101.72
2012-11;100.6
2012-12;101.11
2013-01;99.84
2013-02;100.25
2013-03;99.85
2013-04;100.35
2013-05;102.12
2013-06;95.9
2013-07;97.93
2013-08;99.21
2013-09;98.7
2013-10;99.37
2013-11;100.65
2013-12;100.8
2014-01;99.56
2014-02;100.25
2014-03;97.84
2014-04;100.97
2014-05;99.05
2014-06;99.4
2014-07;99.81
2014-08;99.46
2014-09;100.12
2014-10;98.8
2014-11;97.48
2014-12;99.01
2015-01;98.75
2015-02;98.49
2015-03;99.72
2015-04;99.86
2015-05;100.04
2015-06;101.11
2015-07;100.31
2015-08;100.24
2015-09;100.65
2015-10;101.03
2015-11;100.03
2015-12;99.77
2016-01;100.68
2016-02;99.95
2016-03;99.77
2016-04;98.36
2016-05;98.5
2016-06;98.47
2016-07;99.61
2016-08;99.86
2016-09;99.76
2016-10;98.58
2016-11;99.75
2016-12;99.52
2017-01;98.66
2017-02;99.36
2017-03;99.54
2017-04;98.53
2017-05;100.02
2017-06;98.56
2017-07;99.72
2017-08;100.5
2017-09;100.51
2017-10;99.76
2017-11;100.11
2017-12;99.88
2018-01;99.65
2018-02;99.19
2018-03;100.81
2018-04;100.46
2018-05;100.53
2018-06;99.33
2018-07;99.73
2018-08;99.81
2018-09;98.45
2018-10;99.24
2018-11;98.58
2018-12;100.07
2019-01;100.32
2019-02;99.83
2019-03;99.05
2019-04;100.59
2019-05;99.78
2019-06;99.77
2019-07;98.5
2019-08;98.41
2019-09;100.21
2019-10;100.1
2019-11;99.68
2019-12;99.27
2020-01;99.59
2020-02;101.08
2020-03;99.51
2020-04;95.11
2020-05;96.58
2020-06;99.48
2020-07;100.19
2020-08;98.58
2020-09;99.27
2020-10;98.75
2020-11;99.04
2020-12;98.04
2021-01;100.01
2021-02;97.8
2021-03;99.09
2021-04;98.1
2021-05;98.98
2021-06;99.22
2021-07;102.7
2021-08;100.3
2021-09;100.06
2021-10;101.0
2021-11;101.98
2021-12;99.96
2022-01;101.43
2022-02;102.17
