dates;indices
2022-03;122.96
2022-02;123.69
2022-01;117.82
2021-12;122.62
2021-11;129.85
2021-10;124.85
2021-09;123.48
2021-08;124.6
2021-07;120.83
2021-06;112.73
2021-05;120.93
2021-04;114.08
2021-03;114.93
2021-02;114.29
2021-01;119.41
2020-12;119.92
2020-11;119.5
2020-10;113.13
2020-09;112.91
2020-08;112.15
2020-07;110.61
2020-06;108.18
2020-05;121.78
2020-04;120.58
2020-03;116.33
2020-02;119.99
2020-01;114.12
2019-12;87.25
2019-11;94.92
2019-10;98.15
2019-09;94.32
2019-08;91.83
2019-07;88.37
2019-06;92.29
2019-05;88.07
2019-04;91.48
2019-03;92.93
2019-02;93.23
2019-01;103.71
2018-12;97.31
2018-11;95.9
2018-10;96.11
2018-09;99.43
2018-08;99.33
2018-07;99.42
2018-06;96.79
2018-05;94.99
2018-04;97.66
2018-03;94.88
2018-02;97.54
2018-01;98.48
2017-12;95.6
2017-11;96.94
2017-10;95.62
2017-09;96.19
2017-08;96.11
2017-07;95.96
2017-06;92.23
2017-05;94.08
2017-04;91.95
2017-03;92.66
2017-02;91.7
2017-01;91.58
2016-12;94.26
2016-11;94.74
2016-10;95.26
2016-09;94.37
2016-08;93.58
2016-07;96.2
2016-06;95.61
2016-05;95.14
2016-04;95.55
2016-03;97.8
2016-02;98.93
2016-01;99.04
2015-12;106.7
2015-11;100.49
2015-10;100.46
2015-09;99.06
2015-08;99.87
2015-07;95.68
2015-06;98.97
2015-05;101.93
2015-04;102.59
2015-03;98.11
2015-02;98.38
2015-01;97.79
2014-12;96.05
2014-11;97.61
2014-10;98.83
2014-09;99.3
2014-08;99.1
2014-07;97.31
2014-06;97.47
2014-05;101.96
2014-04;95.8
2014-03;97.04
2014-02;98.4
2014-01;96.22
2013-12;97.52
2013-11;97.36
2013-10;94.98
2013-09;95.71
2013-08;97.94
2013-07;97.62
2013-06;98.51
2013-05;97.88
2013-04;99.07
2013-03;86.22
2013-02;97.87
2013-01;98.45
2012-12;98.28
2012-11;102.83
2012-10;97.65
2012-09;100.04
2012-08;98.76
2012-07;99.04
2012-06;100.63
2012-05;96.65
2012-04;96.87
2012-03;101.39
2012-02;99.71
2012-01;102.28
2011-12;87.81
2011-11;86.02
2011-10;88.95
2011-09;88.72
2011-08;88.3
2011-07;85.57
