dates;indices
2022-03;96.8
2022-02;96.79
2022-01;95.74
2021-12;95.81
2021-11;98.13
2021-10;94.6
2021-09;91.65
2021-08;88.65
2021-07;89.04
2021-06;102.12
2021-05;92.65
2021-04;92.15
2021-03;96.09
2021-02;92.63
2021-01;91.93
2020-12;93.36
2020-11;93.41
2020-10;93.28
2020-09;99.21
2020-08;108.21
2020-07;95.09
2020-06;103.3
2020-05;85.23
2020-04;82.89
2020-03;93.29
2020-02;99.79
2020-01;98.07
2019-12;95.79
2019-11;99.06
2019-10;97.25
2019-09;97.59
2019-08;95.02
2019-07;102.47
2019-06;93.19
2019-05;92.23
2019-04;100.21
2019-03;98.87
2019-02;96.35
2019-01;99.88
2018-12;100.63
2018-11;92.79
2018-10;102.59
2018-09;100.37
2018-08;110.14
2018-07;109.53
2018-06;101.57
2018-05;108.31
2018-04;99.15
2018-03;96.55
2018-02;99.43
2018-01;99.66
2017-12;96.27
2017-11;98.27
2017-10;103.88
2017-09;94.16
2017-08;93.8
2017-07;97.22
2017-06;111.4
2017-05;100.32
2017-04;104.39
2017-03;104.02
2017-02;101.59
2017-01;92.11
2016-12;105.86
2016-11;97.56
2016-10;101.15
2016-09;108.02
2016-08;105.3
2016-07;100.1
2016-06;96.76
2016-05;99.1
2016-04;95.43
2016-03;99.25
2016-02;98.52
2016-01;96.42
2015-12;99.96
2015-11;103.27
2015-10;96.52
2015-09;99.95
2015-08;96.21
2015-07;110.77
2015-06;100.45
2015-05;103.36
2015-04;97.7
2015-03;95.71
2015-02;97.41
2015-01;98.7
2014-12;92.35
2014-11;90.95
2014-10;92.0
2014-09;102.96
2014-08;88.6
2014-07;89.0
2014-06;94.73
2014-05;86.26
2014-04;89.99
2014-03;91.01
2014-02;88.45
2014-01;87.69
2013-12;92.01
2013-11;86.58
2013-10;85.76
2013-09;84.55
2013-08;90.37
2013-07;93.75
2013-06;69.5
2013-05;82.16
2013-04;76.91
2013-03;73.72
2013-02;67.47
2013-01;49.83
2012-12;123.28
2012-11;97.33
2012-10;86.89
2012-09;82.19
2012-08;91.0
2012-07;78.95
2012-06;78.37
2012-05;77.98
2012-04;80.09
2012-03;78.85
2012-02;77.96
2012-01;80.02
2011-12;81.42
2011-11;83.61
2011-10;84.13
2011-09;82.87
2011-08;81.34
2011-07;76.36
2011-06;79.65
2011-05;81.72
2011-04;79.85
2011-03;75.19
2011-02;76.02
2011-01;75.45
2010-12;73.04
2010-11;75.52
2010-10;71.67
2010-09;71.89
2010-08;70.43
2010-07;86.24
2010-06;74.39
2010-05;71.91
2010-04;72.06
2010-03;74.06
2010-02;69.03
2010-01;70.36
2009-12;72.15
2009-11;69.91
2009-10;70.71
2009-09;73.09
2009-08;73.06
2009-07;76.71
2009-06;72.84
2009-05;71.57
2009-04;72.31
2009-03;72.1
2009-02;68.8
2009-01;69.45
2008-12;66.62
2008-11;63.86
2008-10;67.13
2008-09;68.27
2008-08;63.25
2008-07;61.05
2008-06;60.97
2008-05;70.84
2008-04;63.53
2008-03;66.23
2008-02;70.96
2008-01;72.94
2007-12;71.95
2007-11;60.73
2007-10;79.66
2007-09;66.55
2007-08;65.01
2007-07;57.81
2007-06;65.44
2007-05;77.08
2007-04;73.0
2007-03;70.8
2007-02;76.75
2007-01;68.02
2006-12;71.5
2006-11;72.88
2006-10;73.88
2006-09;74.32
2006-08;79.88
2006-07;84.43
2006-06;80.85
2006-05;78.07
2006-04;73.62
2006-03;76.6
2006-02;71.16
2006-01;70.91
2005-12;73.15
2005-11;81.56
2005-10;79.9
2005-09;78.73
2005-08;78.92
2005-07;78.88
2005-06;76.49
2005-05;78.87
2005-04;76.87
2005-03;74.82
2005-02;72.64
2005-01;84.93
2004-12;82.1
2004-11;79.74
2004-10;74.92
2004-09;81.39
2004-08;75.71
2004-07;71.95
2004-06;82.79
2004-05;78.5
2004-04;78.87
2004-03;83.37
2004-02;79.6
2004-01;96.95
2003-12;86.2
2003-11;76.52
2003-10;79.91
2003-09;83.76
