dates;indices
2022-03;114.45
2022-02;99.7
2022-01;102.36
2021-12;110.69
2021-11;108.1
2021-10;109.41
2021-09;108.66
2021-08;104.85
2021-07;105.09
2021-06;107.95
2021-05;101.62
2021-04;99.94
2021-03;104.35
2021-02;89.06
2021-01;94.62
2020-12;98.18
2020-11;95.4
2020-10;103.38
2020-09;105.02
2020-08;99.72
2020-07;99.39
2020-06;93.3
2020-05;82.42
2020-04;85.61
2020-03;102.75
2020-02;95.1
2020-01;102.52
2019-12;101.39
2019-11;101.99
2019-10;114.3
2019-09;105.82
2019-08;101.21
2019-07;106.03
2019-06;97.74
2019-05;105.14
2019-04;104.93
2019-03;103.33
2019-02;94.96
2019-01;102.14
2018-12;96.95
2018-11;104.14
2018-10;113.39
2018-09;101.94
2018-08;106.56
2018-07;103.98
2018-06;101.56
2018-05;103.1
2018-04;101.98
2018-03;107.99
2018-02;93.0
2018-01;99.75
2017-12;98.87
2017-11;105.3
2017-10;108.63
2017-09;106.22
2017-08;106.94
2017-07;98.05
2017-06;103.25
2017-05;107.95
2017-04;99.09
2017-03;112.41
2017-02;97.56
2017-01;99.93
2016-12;102.94
2016-11;105.57
2016-10;106.9
2016-09;107.4
2016-08;101.73
2016-07;94.29
2016-06;103.35
2016-05;101.36
2016-04;102.44
2016-03;106.71
2016-02;94.41
2016-01;93.98
2015-12;101.9
2015-11;99.63
2015-10;110.38
2015-09;105.37
2015-08;95.56
2015-07;97.67
2015-06;104.46
2015-05;92.81
2015-04;103.04
2015-03;101.64
2015-02;91.02
2015-01;96.51
2014-12;93.98
2014-11;88.35
2014-10;104.53
2014-09;102.96
2014-08;90.55
2014-07;96.62
2014-06;99.64
2014-05;93.45
2014-04;108.0
2014-03;99.39
2014-02;93.63
2014-01;88.25
2013-12;92.37
2013-11;94.76
2013-10;100.63
2013-09;96.8
2013-08;89.68
2013-07;95.3
2013-06;96.07
2013-05;98.1
2013-04;101.42
2013-03;98.73
2013-02;93.15
2013-01;93.53
2012-12;94.38
2012-11;96.1
2012-10;100.75
2012-09;101.49
2012-08;92.58
2012-07;93.31
2012-06;104.74
2012-05;95.41
2012-04;97.8
2012-03;102.11
2012-02;98.35
2012-01;91.28
2011-12;92.16
2011-11;91.63
2011-10;102.81
2011-09;96.98
2011-08;91.6
2011-07;96.74
2011-06;95.03
2011-05;96.38
2011-04;101.44
2011-03;103.01
2011-02;94.68
2011-01;91.97
2010-12;95.46
2010-11;94.44
2010-10;101.18
2010-09;99.89
2010-08;92.83
2010-07;95.15
2010-06;98.17
2010-05;101.2
2010-04;99.84
2010-03;104.96
2010-02;99.68
2010-01;90.35
2009-12;94.12
2009-11;94.29
2009-10;101.51
2009-09;100.68
2009-08;91.19
2009-07;97.91
2009-06;98.55
2009-05;95.16
2009-04;102.91
2009-03;103.11
2009-02;94.96
2009-01;90.57
2008-12;95.11
2008-11;92.66
2008-10;104.02
2008-09;101.01
2008-08;90.28
2008-07;98.56
2008-06;97.55
2008-05;96.99
2008-04;105.26
2008-03;100.96
2008-02;98.52
2008-01;97.6
2007-12;87.65
2007-11;97.35
2007-10;104.97
2007-09;96.11
2007-08;104.31
2007-07;88.27
2007-06;99.83
2007-05;99.41
2007-04;99.08
2007-03;102.63
2007-02;97.06
2007-01;96.74
2006-12;90.12
2006-11;94.22
2006-10;101.56
2006-09;98.88
2006-08;99.98
2006-07;83.61
2006-06;98.14
2006-05;99.73
2006-04;97.38
2006-03;106.01
2006-02;95.37
2006-01;91.68
2005-12;93.96
2005-11;96.51
2005-10;98.47
2005-09;104.45
2005-08;101.98
2005-07;86.53
2005-06;101.42
2005-05;100.99
2005-04;98.36
2005-03;107.46
2005-02;95.18
2005-01;93.25
2004-12;94.64
2004-11;95.13
2004-10;101.93
2004-09;103.58
2004-08;97.92
2004-07;88.96
2004-06;102.82
2004-05;93.93
2004-04;101.83
2004-03;107.41
2004-02;94.75
2004-01;94.69
2003-12;93.99
2003-11;89.77
2003-10;103.49
2003-09;104.51
2003-08;91.77
2003-07;96.71
2003-06;96.68
2003-05;95.24
2003-04;102.47
2003-03;104.01
2003-02;98.5
2003-01;98.24
2002-12;96.61
2002-11;102.0
2002-10;113.27
2002-09;106.44
2002-08;105.41
2002-07;100.79
2002-06;103.34
2002-05;102.35
2002-04;107.48
2002-03;114.45
2002-02;100.6
2002-01;97.72
2001-12;96.2
2001-11;103.96
2001-10;116.49
2001-09;108.52
2001-08;105.12
2001-07;99.44
2001-06;108.39
2001-05;107.86
2001-04;104.67
2001-03;112.96
2001-02;101.73
2001-01;99.73
2000-12;99.9
2000-11;106.94
2000-10;116.05
2000-09;115.83
2000-08;107.42
2000-07;98.91
2000-06;107.36
2000-05;111.64
2000-04;102.93
2000-03;116.95
2000-02;105.86
2000-01;92.49
1999-12;97.19
1999-11;108.76
1999-10;129.65
1999-09;131.43
1999-08;105.65
1999-07;102.02
1999-06;118.31
1999-05;101.85
1999-04;107.42
1999-03;115.04
1999-02;107.03
1999-01;92.23
1998-12;96.74
1998-11;103.69
1998-10;123.35
1998-09;129.61
1998-08;102.24
1998-07;108.33
1998-06;113.08
1998-05;97.98
1998-04;113.25
1998-03;115.81
1998-02;107.64
1998-01;101.65
1997-12;104.3
1997-11;110.79
1997-10;132.92
1997-09;131.82
1997-08;103.23
1997-07;105.27
1997-06;111.84
1997-05;109.54
1997-04;119.25
1997-03;112.43
1997-02;117.54
1997-01;100.09
1996-12;94.57
1996-11;108.63
1996-10;123.26
1996-09;123.94
1996-08;93.55
1996-07;102.56
1996-06;107.6
1996-05;110.22
1996-04;110.72
1996-03;111.74
1996-02;117.35
1996-01;95.31
1995-12;91.65
1995-11;108.37
1995-10;119.6
1995-09;129.61
1995-08;97.21
1995-07;86.18
1995-06;110.58
1995-05;104.92
1995-04;104.53
1995-03;106.55
1995-02;104.67
1995-01;91.78
1994-12;86.44
1994-11;105.6
1994-10;114.77
1994-09;129.26
1994-08;102.36
1994-07;85.07
1994-06;113.58
1994-05;100.45
1994-04;97.23
1994-03;106.97
1994-02;106.76
1994-01;90.45
1993-12;104.42
1993-11;102.74
1993-10;112.94
1993-09;144.8
1993-08;92.06
1993-07;86.11
1993-06;110.76
1993-05;95.63
1993-04;100.81
1993-03;107.09
1993-02;102.83
1993-01;82.75
1992-12;98.61
1992-11;101.66
1992-10;117.45
1992-09;144.33
1992-08;85.05
1992-07;99.66
1992-06;123.73
1992-05;109.69
1992-04;116.07
1992-03;118.78
1992-02;115.97
1992-01;94.19
1991-12;83.06
1991-11;109.85
1991-10;115.62
1991-09;117.08
1991-08;87.42
1991-07;98.19
1991-06;116.95
1991-05;108.35
