dates;indices
2022-03;117.67
2022-02;105.17
2022-01;111.09
2021-12;100.07
2021-11;101.31
2021-10;99.31
2021-09;101.66
2021-08;94.09
2021-07;106.33
2021-06;110.67
2021-05;99.24
2021-04;102.87
2021-03;117.22
2021-02;106.6
2021-01;107.96
2020-12;96.66
2020-11;103.98
2020-10;105.57
2020-09;99.57
2020-08;83.03
2020-07;97.78
2020-06;95.74
2020-05;85.37
2020-04;81.74
2020-03;101.59
2020-02;111.72
2020-01;111.7
2019-12;89.07
2019-11;99.2
2019-10;108.4
2019-09;106.72
2019-08;95.2
2019-07;113.9
2019-06;105.58
2019-05;107.8
2019-04;108.87
2019-03;113.22
2019-02;114.05
2019-01;119.34
2018-12;95.18
2018-11;101.86
2018-10;109.14
2018-09;100.52
2018-08;100.43
2018-07;107.84
2018-06;109.88
2018-05;105.28
2018-04;108.7
2018-03;115.54
2018-02;108.17
2018-01;115.71
2017-12;95.99
2017-11;108.0
2017-10;109.46
2017-09;104.14
2017-08;100.29
2017-07;109.91
2017-06;110.61
2017-05;107.71
2017-04;104.5
2017-03;121.91
2017-02;107.15
2017-01;115.02
2016-12;98.77
2016-11;100.64
2016-10;94.32
2016-09;98.74
2016-08;96.24
2016-07;103.11
2016-06;96.58
2016-05;95.5
2016-04;104.08
2016-03;110.18
2016-02;108.56
2016-01;109.64
2015-12;94.33
2015-11;97.91
2015-10;96.47
2015-09;96.29
2015-08;90.86
2015-07;106.64
2015-06;104.41
2015-05;93.54
2015-04;102.64
2015-03;109.46
2015-02;102.24
2015-01;105.21
2014-12;89.71
2014-11;90.87
2014-10;95.9
2014-09;94.4
2014-08;86.37
2014-07;106.5
2014-06;97.44
2014-05;94.06
2014-04;103.87
2014-03;107.67
2014-02;101.22
2014-01;105.92
2013-12;84.51
2013-11;90.59
2013-10;96.63
2013-09;88.9
2013-08;82.87
2013-07;102.5
2013-06;95.45
2013-05;92.52
2013-04;100.82
2013-03;101.31
2013-02;95.8
2013-01;99.63
2012-12;77.09
2012-11;87.0
2012-10;91.55
2012-09;86.4
2012-08;83.45
2012-07;95.25
2012-06;92.97
2012-05;89.84
2012-04;93.91
2012-03;100.76
2012-02;93.06
2012-01;98.1
2011-12;79.48
2011-11;85.9
2011-10;83.94
2011-09;87.93
2011-08;86.43
2011-07;96.4
2011-06;95.96
2011-05;99.99
2011-04;95.16
2011-03;108.98
2011-02;95.96
2011-01;95.88
2010-12;81.25
2010-11;82.99
2010-10;81.37
2010-09;86.39
2010-08;81.62
2010-07;92.59
2010-06;95.29
2010-05;87.48
2010-04;90.67
2010-03;97.11
2010-02;87.8
2010-01;85.05
2009-12;76.17
2009-11;81.67
2009-10;91.27
2009-09;85.27
2009-08;76.85
2009-07;87.8
2009-06;89.11
2009-05;76.05
2009-04;78.78
2009-03;82.62
2009-02;78.72
2009-01;76.1
2008-12;63.43
2008-11;76.39
2008-10;98.69
2008-09;92.99
2008-08;85.55
2008-07;99.36
2008-06;98.4
2008-05;93.67
2008-04;101.43
2008-03;99.97
2008-02;98.95
2008-01;102.6
2007-12;81.24
2007-11;90.65
2007-10;103.98
2007-09;93.2
2007-08;86.82
2007-07;98.7
2007-06;101.12
2007-05;95.32
2007-04;93.17
2007-03;103.43
2007-02;93.14
2007-01;97.63
2006-12;79.12
2006-11;85.47
2006-10;90.66
2006-09;87.06
2006-08;82.43
2006-07;87.85
2006-06;98.17
2006-05;92.03
2006-04;87.56
2006-03;99.31
2006-02;84.73
2006-01;92.23
2005-12;79.76
2005-11;84.49
2005-10;88.36
2005-09;90.0
2005-08;82.23
2005-07;85.74
2005-06;95.64
2005-05;90.05
2005-04;91.07
2005-03;95.7
2005-02;87.53
2005-01;90.0
2004-12;76.2
2004-11;77.95
2004-10;92.53
2004-09;89.01
2004-08;80.7
2004-07;90.63
2004-06;98.72
2004-05;86.27
2004-04;86.83
2004-03;96.08
2004-02;87.52
2004-01;87.52
2003-12;78.46
2003-11;81.19
2003-10;90.64
2003-09;86.57
2003-08;72.73
2003-07;90.18
2003-06;88.33
2003-05;83.31
2003-04;93.03
2003-03;96.25
2003-02;87.0
2003-01;91.05
2002-12;76.8
2002-11;81.1
2002-10;91.2
2002-09;86.29
2002-08;74.96
2002-07;95.51
2002-06;92.45
2002-05;84.98
2002-04;90.44
2002-03;95.52
2002-02;86.47
2002-01;88.54
2001-12;72.16
2001-11;83.92
2001-10;94.18
2001-09;83.39
2001-08;78.99
2001-07;94.6
2001-06;95.63
2001-05;89.54
2001-04;86.66
2001-03;98.12
2001-02;90.51
2001-01;93.66
2000-12;81.67
2000-11;88.57
2000-10;93.88
2000-09;87.14
2000-08;81.24
2000-07;91.72
2000-06;95.3
2000-05;92.57
2000-04;89.01
2000-03;101.09
2000-02;90.71
2000-01;89.54
1999-12;84.18
1999-11;87.23
1999-10;90.94
1999-09;88.14
1999-08;79.06
1999-07;89.37
1999-06;95.94
1999-05;85.09
1999-04;88.42
1999-03;96.84
1999-02;79.78
1999-01;84.3
1998-12;80.02
1998-11;81.24
1998-10;87.66
1998-09;86.2
1998-08;75.94
1998-07;91.8
1998-06;94.4
1998-05;86.58
1998-04;86.46
1998-03;92.57
1998-02;85.47
1998-01;88.91
1997-12;82.39
1997-11;78.77
1997-10;95.07
1997-09;86.09
1997-08;74.39
1997-07;88.59
1997-06;89.44
1997-05;82.22
1997-04;89.88
1997-03;89.07
1997-02;82.54
1997-01;83.38
1996-12;71.85
1996-11;73.09
1996-10;84.91
1996-09;79.17
1996-08;68.04
1996-07;83.44
1996-06;85.25
1996-05;78.27
1996-04;78.81
1996-03;83.05
1996-02;79.09
1996-01;82.95
1995-12;65.43
1995-11;70.21
1995-10;77.96
1995-09;76.14
1995-08;67.99
1995-07;77.87
1995-06;84.65
1995-05;79.03
1995-04;77.53
1995-03;88.16
1995-02;75.29
1995-01;82.11
1994-12;73.62
1994-11;77.26
1994-10;81.42
1994-09;77.92
1994-08;69.27
1994-07;75.53
1994-06;81.23
1994-05;79.04
1994-04;78.54
1994-03;85.14
1994-02;74.28
1994-01;75.58
1993-12;68.48
1993-11;72.0
1993-10;75.13
1993-09;71.92
1993-08;60.13
1993-07;72.85
1993-06;79.62
1993-05;69.97
1993-04;74.42
1993-03;78.47
1993-02;71.89
1993-01;70.18
1992-12;64.71
1992-11;68.44
1992-10;76.3
1992-09;74.19
1992-08;60.51
1992-07;74.77
1992-06;80.35
1992-05;68.66
1992-04;73.31
1992-03;77.51
1992-02;71.28
1992-01;73.98
1991-12;64.51
1991-11;67.3
1991-10;76.8
1991-09;71.86
1991-08;57.1
1991-07;72.76
1991-06;74.67
1991-05;65.52
1991-04;67.92
1991-03;74.04
1991-02;68.37
1991-01;72.6
1990-12;56.53
1990-11;67.59
1990-10;75.38
1990-09;67.18
1990-08;56.29
1990-07;69.54
1990-06;71.43
1990-05;68.01
1990-04;68.26
1990-03;75.87
1990-02;69.61
1990-01;73.07
