dates;indices
2022-03;92.7
2022-02;83.37
2022-01;73.98
2021-12;76.01
2021-11;79.88
2021-10;75.88
2021-09;72.2
2021-08;75.18
2021-07;74.14
2021-06;76.6
2021-05;69.9
2021-04;68.7
2021-03;64.03
2021-02;67.71
2021-01;77.61
2020-12;77.11
2020-11;69.9
2020-10;83.72
2020-09;87.52
2020-08;105.09
2020-07;84.98
2020-06;79.53
2020-05;52.1
2020-04;29.1
2020-03;50.85
2020-02;91.41
2020-01;99.52
2019-12;93.12
2019-11;94.66
2019-10;82.96
2019-09;79.71
2019-08;107.55
2019-07;95.91
2019-06;96.71
2019-05;96.46
2019-04;88.93
2019-03;81.06
2019-02;89.78
2019-01;103.15
2018-12;96.18
2018-11;94.56
2018-10;94.66
2018-09;94.38
2018-08;85.29
2018-07;96.16
2018-06;90.85
2018-05;92.78
2018-04;99.56
2018-03;92.15
2018-02;98.78
2018-01;88.35
2017-12;98.84
2017-11;104.04
2017-10;102.35
2017-09;95.53
2017-08;90.77
2017-07;91.67
2017-06;101.3
2017-05;103.68
2017-04;106.68
2017-03;101.34
2017-02;94.72
2017-01;89.86
2016-12;99.39
2016-11;97.84
2016-10;102.87
2016-09;90.77
2016-08;102.79
2016-07;96.94
2016-06;98.71
2016-05;107.85
2016-04;100.79
2016-03;101.54
2016-02;104.06
2016-01;96.02
2015-12;96.3
2015-11;99.77
2015-10;96.18
2015-09;104.0
2015-08;103.79
2015-07;105.01
2015-06;96.1
2015-05;97.98
2015-04;93.38
2015-03;104.42
2015-02;97.08
2015-01;105.99
2014-12;111.62
2014-11;97.25
2014-10;100.89
2014-09;112.88
2014-08;104.8
2014-07;114.78
2014-06;114.87
2014-05;109.59
2014-04;116.41
2014-03;111.7
2014-02;113.67
2014-01;105.24
2013-12;103.63
2013-11;100.78
2013-10;99.06
2013-09;99.18
2013-08;100.68
2013-07;102.51
2013-06;110.14
2013-05;113.42
2013-04;106.74
2013-03;100.7
2013-02;105.55
2013-01;110.93
2012-12;119.52
2012-11;125.51
2012-10;120.42
2012-09;111.45
2012-08;110.19
2012-07;108.18
2012-06;104.14
2012-05;128.72
2012-04;119.93
2012-03;126.29
2012-02;124.94
2012-01;110.61
2011-12;120.86
2011-11;123.19
2011-10;122.22
2011-09;104.47
2011-08;106.7
2011-07;117.87
2011-06;124.39
2011-05;127.17
2011-04;127.1
2011-03;135.43
2011-02;115.83
2011-01;124.11
2010-12;119.99
2010-11;107.43
2010-10;103.26
2010-09;115.99
2010-08;116.56
2010-07;117.28
2010-06;109.15
2010-05;119.5
2010-04;116.73
2010-03;129.91
2010-02;126.62
2010-01;123.26
2009-12;122.61
2009-11;113.49
2009-10;126.94
2009-09;134.38
2009-08;114.21
2009-07;137.74
2009-06;132.18
2009-05;120.8
2009-04;128.57
2009-03;131.88
2009-02;157.24
2009-01;164.23
2008-12;181.15
2008-11;180.38
2008-10;200.08
2008-09;191.83
2008-08;220.65
2008-07;193.32
2008-06;191.2
