dates;indices
2022-03;126.86
2022-02;101.63
2022-01;106.05
2021-12;124.9
2021-11;110.17
2021-10;109.83
2021-09;113.45
2021-08;125.15
2021-07;120.72
2021-06;107.62
2021-05;121.69
2021-04;120.43
2021-03;136.87
2021-02;109.21
2021-01;115.68
2020-12;131.68
2020-11;108.97
2020-10;120.31
2020-09;126.22
2020-08;123.15
2020-07;114.77
2020-06;125.94
2020-05;116.4
2020-04;128.89
2020-03;145.92
2020-02;112.58
2020-01;120.53
2019-12;111.32
2019-11;99.28
2019-10;104.69
2019-09;99.69
2019-08;105.71
2019-07;111.38
2019-06;101.65
2019-05;110.49
2019-04;113.05
2019-03;107.7
2019-02;106.81
2019-01;107.8
2018-12;97.96
2018-11;94.33
2018-10;95.37
2018-09;94.43
2018-08;98.49
2018-07;96.71
2018-06;98.09
2018-05;104.61
2018-04;105.28
2018-03;111.68
2018-02;94.0
2018-01;111.88
2017-12;92.96
2017-11;98.46
2017-10;100.77
2017-09;103.53
2017-08;104.54
2017-07;99.04
2017-06;104.05
2017-05;101.81
2017-04;93.95
2017-03;110.52
2017-02;90.04
2017-01;102.39
2016-12;110.53
2016-11;99.56
2016-10;102.91
2016-09;110.3
2016-08;111.44
2016-07;96.63
2016-06;96.01
2016-05;99.49
2016-04;102.75
2016-03;114.01
2016-02;88.55
2016-01;99.68
2015-12;113.51
2015-11;93.55
2015-10;97.72
2015-09;104.53
2015-08;90.04
2015-07;102.53
2015-06;99.3
2015-05;97.67
2015-04;103.39
2015-03;106.94
2015-02;90.91
2015-01;99.91
2014-12;109.65
2014-11;90.22
2014-10;104.34
2014-09;107.0
2014-08;98.28
2014-07;106.93
2014-06;92.89
2014-05;98.29
2014-04;109.74
2014-03;94.14
2014-02;94.08
2014-01;107.34
2013-12;111.04
2013-11;85.4
2013-10;109.34
2013-09;98.15
2013-08;109.0
2013-07;112.8
2013-06;93.07
2013-05;109.1
2013-04;113.47
2013-03;102.31
2013-02;93.48
2013-01;111.6
2012-12;107.93
2012-11;99.24
2012-10;106.37
2012-09;95.28
2012-08;95.06
2012-07;103.34
2012-06;97.62
2012-05;97.8
2012-04;93.37
2012-03;100.57
2012-02;85.24
2012-01;103.2
2011-12;113.93
2011-11;91.39
2011-10;95.5
2011-09;98.14
2011-08;105.97
2011-07;102.76
2011-06;93.93
2011-05;109.47
2011-04;102.99
2011-03;111.64
2011-02;98.72
2011-01;113.45
2010-12;102.08
2010-11;98.46
2010-10;99.74
2010-09;94.19
2010-08;100.66
2010-07;92.85
2010-06;87.65
2010-05;94.0
2010-04;92.52
2010-03;95.65
2010-02;85.51
2010-01;96.53
2009-12;96.67
2009-11;85.1
2009-10;86.74
2009-09;87.03
2009-08;93.02
2009-07;81.98
2009-06;86.92
2009-05;90.22
2009-04;92.21
2009-03;89.89
2009-02;78.33
2009-01;94.97
2008-12;85.64
2008-11;77.05
2008-10;85.95
2008-09;88.6
2008-08;89.77
2008-07;96.04
2008-06;86.63
2008-05;93.92
2008-04;96.13
2008-03;82.06
2008-02;81.05
2008-01;98.95
2007-12;82.59
2007-11;91.84
2007-10;90.61
2007-09;84.94
2007-08;99.04
2007-07;95.9
2007-06;91.65
2007-05;105.31
2007-04;96.49
2007-03;98.19
2007-02;80.62
2007-01;94.65
2006-12;80.71
2006-11;85.8
2006-10;87.47
2006-09;86.82
2006-08;86.67
2006-07;87.32
2006-06;88.93
2006-05;102.75
2006-04;86.34
2006-03;88.33
2006-02;70.46
2006-01;80.53
2005-12;79.38
2005-11;71.85
2005-10;74.09
2005-09;80.93
2005-08;87.98
2005-07;81.66
2005-06;80.64
2005-05;87.44
2005-04;77.58
2005-03;87.24
2005-02;63.97
2005-01;83.74
2004-12;89.6
2004-11;72.03
2004-10;74.64
2004-09;74.44
2004-08;74.0
2004-07;79.88
2004-06;78.88
2004-05;76.46
2004-04;80.62
2004-03;79.12
2004-02;66.52
2004-01;76.78
2003-12;74.82
2003-11;65.54
2003-10;70.63
2003-09;63.53
2003-08;63.64
2003-07;71.01
2003-06;67.89
2003-05;72.52
2003-04;61.68
2003-03;70.59
2003-02;55.08
2003-01;69.0
2002-12;63.37
2002-11;56.87
2002-10;63.09
2002-09;56.36
2002-08;62.06
2002-07;72.27
2002-06;54.68
2002-05;61.27
2002-04;68.99
2002-03;69.67
2002-02;59.66
2002-01;74.2
2001-12;56.49
2001-11;60.18
2001-10;63.56
2001-09;54.93
2001-08;56.66
2001-07;60.42
2001-06;53.26
2001-05;77.67
2001-04;60.75
2001-03;60.81
2001-02;52.54
2001-01;62.89
2000-12;46.87
2000-11;56.99
2000-10;54.75
2000-09;51.07
2000-08;50.75
2000-07;55.53
2000-06;54.03
2000-05;62.24
2000-04;51.15
2000-03;60.94
2000-02;50.59
2000-01;59.68
1999-12;54.42
1999-11;54.81
1999-10;51.74
1999-09;52.12
1999-08;56.86
1999-07;57.29
1999-06;56.24
1999-05;56.02
1999-04;56.34
1999-03;55.98
1999-02;42.61
1999-01;58.65
1998-12;56.78
1998-11;54.55
1998-10;52.02
1998-09;50.54
1998-08;44.75
1998-07;68.36
1998-06;60.41
1998-05;54.76
1998-04;63.89
1998-03;56.46
1998-02;46.84
1998-01;66.26
1997-12;53.26
1997-11;48.82
1997-10;58.07
1997-09;46.83
1997-08;48.55
1997-07;58.29
1997-06;49.74
1997-05;55.76
1997-04;68.7
1997-03;57.15
1997-02;54.83
1997-01;62.07
1996-12;57.03
1996-11;47.65
1996-10;59.6
1996-09;53.48
1996-08;49.62
1996-07;59.08
1996-06;48.32
1996-05;49.21
1996-04;59.84
1996-03;47.53
1996-02;50.9
1996-01;53.54
1995-12;39.88
1995-11;45.7
1995-10;44.04
1995-09;42.69
1995-08;44.75
1995-07;45.04
1995-06;43.01
1995-05;48.55
1995-04;50.02
1995-03;44.48
1995-02;39.45
1995-01;45.1
1994-12;40.05
1994-11;40.7
1994-10;39.15
1994-09;43.08
1994-08;57.12
1994-07;49.44
