dates;indices
2022-03;98.53
2022-02;103.54
2022-01;101.21
2021-12;105.1
2021-11;108.99
2021-10;101.97
2021-09;99.59
2021-08;101.67
2021-07;102.64
2021-06;98.54
2021-05;102.11
2021-04;99.86
2021-03;102.37
2021-02;102.39
2021-01;105.65
2020-12;95.29
2020-11;98.05
2020-10;96.22
2020-09;100.95
2020-08;98.38
2020-07;96.59
2020-06;97.97
2020-05;100.18
2020-04;98.47
2020-03;115.2
2020-02;98.69
2020-01;97.18
2019-12;99.19
2019-11;101.82
2019-10;104.67
2019-09;100.23
2019-08;97.86
2019-07;100.23
2019-06;104.82
2019-05;96.6
2019-04;96.08
2019-03;99.79
2019-02;97.77
2019-01;101.11
2018-12;100.25
2018-11;96.2
2018-10;93.45
2018-09;94.86
2018-08;98.95
2018-07;98.79
2018-06;100.28
2018-05;98.5
2018-04;104.54
2018-03;104.34
2018-02;98.84
2018-01;99.65
2017-12;100.87
2017-11;102.49
2017-10;104.57
2017-09;102.26
2017-08;101.02
2017-07;106.97
2017-06;87.72
2017-05;97.23
2017-04;95.97
2017-03;98.69
2017-02;98.88
2017-01;96.36
2016-12;98.47
2016-11;97.58
2016-10;102.21
2016-09;102.79
2016-08;96.69
2016-07;96.79
2016-06;97.7
2016-05;98.48
2016-04;98.41
2016-03;91.4
2016-02;96.56
2016-01;97.0
2015-12;97.22
2015-11;95.84
2015-10;100.46
2015-09;101.25
2015-08;102.88
2015-07;99.59
2015-06;107.57
2015-05;101.67
2015-04;100.37
2015-03;96.9
2015-02;97.24
2015-01;99.01
2014-12;94.23
2014-11;101.86
2014-10;95.66
2014-09;91.67
2014-08;102.48
2014-07;97.27
2014-06;83.26
2014-05;98.49
2014-04;99.02
2014-03;84.74
2014-02;103.76
2014-01;100.28
2013-12;96.08
2013-11;101.24
2013-10;96.33
2013-09;102.68
2013-08;105.84
2013-07;96.96
2013-06;88.01
2013-05;88.04
2013-04;92.66
2013-03;100.22
2013-02;99.21
2013-01;104.44
2012-12;108.66
2012-11;106.43
2012-10;111.79
2012-09;105.15
2012-08;101.83
2012-07;122.44
2012-06;117.18
2012-05;113.79
2012-04;117.63
2012-03;111.59
2012-02;102.17
2012-01;111.35
2011-12;110.82
2011-11;104.87
2011-10;105.2
2011-09;107.97
2011-08;102.89
2011-07;102.01
2011-06;108.52
2011-05;107.75
2011-04;95.13
2011-03;107.17
2011-02;108.63
2011-01;100.63
2010-12;86.27
2010-11;92.78
2010-10;92.87
2010-09;99.08
2010-08;94.62
2010-07;94.15
2010-06;90.81
2010-05;97.47
2010-04;91.96
2010-03;93.82
2010-02;94.34
2010-01;100.16
2009-12;88.4
2009-11;105.83
2009-10;99.34
2009-09;105.15
2009-08;103.36
2009-07;91.58
2009-06;103.86
2009-05;107.26
2009-04;85.24
2009-03;103.03
2009-02;100.66
2009-01;96.32
2008-12;98.5
2008-11;93.13
2008-10;95.91
2008-09;92.21
2008-08;91.25
2008-07;104.72
2008-06;94.45
2008-05;92.7
2008-04;99.54
2008-03;93.4
2008-02;95.74
2008-01;94.8
2007-12;97.93
2007-11;96.24
2007-10;98.18
2007-09;94.13
2007-08;95.88
2007-07;99.2
2007-06;96.28
2007-05;95.84
2007-04;97.94
2007-03;94.15
2007-02;93.95
2007-01;94.89
2006-12;94.42
2006-11;94.0
2006-10;95.08
2006-09;94.06
2006-08;93.67
2006-07;94.24
2006-06;94.73
2006-05;93.08
2006-04;93.44
2006-03;92.5
2006-02;92.03
2006-01;91.12
2005-12;92.54
2005-11;94.19
2005-10;93.82
2005-09;93.58
2005-08;94.24
2005-07;93.06
2005-06;91.92
2005-05;90.64
2005-04;90.86
2005-03;93.56
2005-02;91.63
2005-01;91.61
2004-12;91.86
2004-11;93.34
2004-10;93.46
2004-09;93.38
2004-08;90.63
2004-07;93.63
2004-06;93.22
2004-05;89.39
2004-04;92.54
2004-03;92.06
2004-02;93.79
2004-01;94.08
2003-12;92.24
2003-11;91.54
2003-10;91.48
2003-09;92.73
2003-08;90.08
2003-07;94.19
2003-06;92.36
2003-05;92.23
2003-04;94.58
2003-03;91.78
2003-02;92.42
2003-01;92.61
2002-12;93.98
2002-11;95.84
2002-10;95.24
2002-09;91.79
2002-08;94.18
2002-07;92.21
2002-06;90.96
2002-05;94.96
2002-04;93.25
2002-03;95.78
2002-02;94.36
2002-01;95.53
2001-12;92.79
2001-11;91.7
2001-10;89.79
2001-09;92.3
2001-08;93.75
2001-07;91.77
2001-06;94.42
2001-05;94.12
2001-04;93.36
2001-03;91.47
2001-02;91.35
2001-01;90.5
2000-12;93.5
2000-11;89.79
2000-10;90.84
2000-09;92.72
2000-08;94.14
2000-07;92.35
2000-06;93.56
2000-05;92.21
2000-04;91.42
2000-03;92.39
2000-02;93.2
2000-01;89.56
1999-12;89.06
1999-11;94.86
1999-10;96.95
1999-09;92.87
1999-08;89.64
1999-07;91.69
1999-06;90.65
1999-05;89.99
1999-04;90.12
1999-03;91.76
1999-02;91.28
1999-01;91.29
1998-12;91.08
1998-11;90.58
1998-10;92.13
1998-09;92.08
1998-08;90.92
1998-07;93.78
1998-06;92.12
1998-05;90.88
1998-04;93.93
1998-03;92.26
1998-02;90.95
1998-01;94.75
1997-12;94.46
1997-11;93.47
1997-10;94.69
1997-09;91.37
1997-08;91.88
1997-07;91.91
1997-06;89.76
1997-05;92.98
1997-04;92.61
1997-03;91.7
1997-02;91.63
1997-01;91.98
1996-12;89.88
1996-11;92.08
1996-10;90.56
1996-09;90.74
1996-08;92.17
1996-07;89.06
1996-06;88.24
1996-05;93.32
1996-04;88.82
1996-03;89.69
1996-02;91.54
1996-01;89.69
1995-12;89.42
1995-11;87.9
1995-10;88.26
1995-09;89.65
1995-08;89.17
1995-07;84.64
1995-06;89.75
1995-05;89.39
1995-04;88.35
1995-03;88.01
1995-02;86.68
1995-01;85.72
1994-12;82.85
1994-11;87.76
1994-10;86.48
1994-09;86.63
1994-08;89.77
1994-07;86.83
1994-06;85.21
1994-05;84.31
1994-04;84.04
1994-03;84.73
1994-02;84.72
1994-01;84.2
1993-12;85.32
1993-11;85.91
1993-10;85.93
1993-09;88.44
1993-08;84.32
1993-07;84.39
1993-06;84.88
1993-05;81.23
1993-04;83.71
1993-03;83.54
1993-02;83.56
1993-01;83.94
1992-12;85.25
1992-11;84.3
1992-10;84.89
1992-09;86.87
1992-08;84.42
1992-07;86.6
1992-06;87.94
1992-05;85.72
1992-04;87.38
1992-03;85.31
1992-02;87.15
1992-01;86.66
1991-12;81.45
1991-11;89.25
1991-10;85.01
1991-09;83.74
1991-08;85.78
1991-07;85.14
1991-06;84.08
1991-05;86.36
1991-04;86.15
1991-03;86.67
1991-02;85.68
1991-01;86.79
1990-12;83.41
1990-11;83.52
1990-10;84.35
1990-09;83.15
1990-08;84.82
1990-07;81.0
1990-06;84.1
1990-05;84.99
1990-04;83.08
1990-03;83.65
1990-02;81.77
1990-01;80.52
