dates;indices
2022-03;107.77
2022-02;104.17
2022-01;103.32
2021-12;102.69
2021-11;104.14
2021-10;103.39
2021-09;97.08
2021-08;100.37
2021-07;101.9
2021-06;109.83
2021-05;101.28
2021-04;98.45
2021-03;99.68
2021-02;94.53
2021-01;97.9
2020-12;92.76
2020-11;96.86
2020-10;98.02
2020-09;102.35
2020-08;100.99
2020-07;98.28
2020-06;91.61
2020-05;64.88
2020-04;60.15
2020-03;86.04
2020-02;99.76
2020-01;96.74
2019-12;99.48
2019-11;99.94
2019-10;96.56
2019-09;101.96
2019-08;99.56
2019-07;99.99
2019-06;99.31
2019-05;99.92
2019-04;101.62
2019-03;102.28
2019-02;102.44
2019-01;102.95
2018-12;98.7
2018-11;98.29
2018-10;103.28
2018-09;102.8
2018-08;106.69
2018-07;98.12
2018-06;103.37
2018-05;103.13
2018-04;100.41
2018-03;101.05
2018-02;101.16
2018-01;98.6
2017-12;97.78
2017-11;103.16
2017-10;100.19
2017-09;99.84
2017-08;103.53
2017-07;103.17
2017-06;106.07
2017-05;101.37
2017-04;102.04
2017-03;99.95
2017-02;100.65
2017-01;94.62
2016-12;103.61
2016-11;102.91
2016-10;101.84
2016-09;105.64
2016-08;101.68
2016-07;95.38
2016-06;94.02
2016-05;93.79
2016-04;96.75
2016-03;99.86
2016-02;99.22
2016-01;100.39
2015-12;105.01
2015-11;97.85
2015-10;94.77
2015-09;103.17
2015-08;97.68
2015-07;101.48
2015-06;98.8
2015-05;102.89
2015-04;99.84
2015-03;103.27
2015-02;96.28
2015-01;98.98
2014-12;98.33
2014-11;97.62
2014-10;97.22
2014-09;99.55
2014-08;94.03
2014-07;96.97
2014-06;95.33
2014-05;95.28
2014-04;96.03
2014-03;93.74
2014-02;96.78
2014-01;92.21
2013-12;92.83
2013-11;92.48
2013-10;91.82
2013-09;89.59
2013-08;96.65
2013-07;91.38
2013-06;86.91
2013-05;91.52
2013-04;94.18
2013-03;90.07
2013-02;90.83
2013-01;89.48
2012-12;101.35
2012-11;94.31
2012-10;95.49
2012-09;95.45
2012-08;97.69
2012-07;91.19
2012-06;92.25
2012-05;94.69
2012-04;92.16
2012-03;96.7
2012-02;93.59
2012-01;88.74
2011-12;94.89
2011-11;96.75
2011-10;97.01
2011-09;94.6
2011-08;89.25
2011-07;95.26
2011-06;94.68
2011-05;94.64
2011-04;92.2
2011-03;93.27
2011-02;93.54
2011-01;92.58
2010-12;90.69
2010-11;93.0
2010-10;89.44
2010-09;91.28
2010-08;91.34
2010-07;96.11
2010-06;87.81
2010-05;91.41
2010-04;90.24
2010-03;87.03
2010-02;85.94
2010-01;82.24
2009-12;86.64
2009-11;86.06
2009-10;86.93
2009-09;90.78
2009-08;83.91
2009-07;85.44
2009-06;85.03
2009-05;83.0
2009-04;79.7
2009-03;80.76
2009-02;76.23
2009-01;75.78
2008-12;87.4
2008-11;83.11
2008-10;85.05
2008-09;86.26
2008-08;85.88
2008-07;85.96
2008-06;80.54
2008-05;88.3
2008-04;88.14
2008-03;89.53
2008-02;91.32
2008-01;90.85
2007-12;87.76
2007-11;84.58
2007-10;96.74
2007-09;87.5
2007-08;87.5
2007-07;85.73
2007-06;92.21
2007-05;97.2
2007-04;94.24
2007-03;91.68
2007-02;96.65
2007-01;92.04
2006-12;90.96
2006-11;90.44
2006-10;90.34
2006-09;90.74
2006-08;94.38
2006-07;92.42
2006-06;93.38
2006-05;89.99
2006-04;87.63
2006-03;91.22
2006-02;85.19
2006-01;81.63
2005-12;88.61
2005-11;89.53
2005-10;81.68
2005-09;85.2
2005-08;88.57
2005-07;87.29
2005-06;83.28
2005-05;85.89
2005-04;84.94
2005-03;82.99
2005-02;84.95
2005-01;88.81
2004-12;87.29
2004-11;87.4
2004-10;84.54
2004-09;85.93
2004-08;82.87
2004-07;81.54
2004-06;87.9
2004-05;87.61
2004-04;88.13
2004-03;87.03
2004-02;88.87
2004-01;90.08
2003-12;83.87
2003-11;82.28
2003-10;84.6
2003-09;90.13
2003-08;91.66
2003-07;89.82
2003-06;86.59
2003-05;82.42
2003-04;87.76
2003-03;85.59
2003-02;87.79
2003-01;83.91
2002-12;80.91
2002-11;85.3
2002-10;86.6
2002-09;81.83
2002-08;83.29
2002-07;78.23
2002-06;80.22
2002-05;85.52
2002-04;87.74
2002-03;86.72
2002-02;84.92
2002-01;78.98
2001-12;83.64
2001-11;80.03
2001-10;80.4
2001-09;79.66
2001-08;86.32
2001-07;78.83
2001-06;80.08
2001-05;80.54
2001-04;77.5
2001-03;76.37
2001-02;75.13
2001-01;73.22
2000-12;80.64
2000-11;77.89
2000-10;83.3
2000-09;81.28
2000-08;76.47
2000-07;78.83
2000-06;79.96
2000-05;75.78
2000-04;72.8
2000-03;70.96
2000-02;74.65
2000-01;74.32
1999-12;75.37
1999-11;87.92
1999-10;91.16
1999-09;91.11
1999-08;91.47
1999-07;88.66
1999-06;89.38
1999-05;86.31
1999-04;85.31
1999-03;83.78
1999-02;84.15
1999-01;84.25
1998-12;77.98
1998-11;80.97
1998-10;80.54
1998-09;76.97
1998-08;78.91
1998-07;82.32
1998-06;82.44
1998-05;82.63
1998-04;78.02
1998-03;81.58
1998-02;82.49
1998-01;81.82
1997-12;82.37
1997-11;77.6
1997-10;84.65
1997-09;82.38
1997-08;80.59
1997-07;74.18
1997-06;76.91
1997-05;76.79
1997-04;80.57
1997-03;77.71
1997-02;76.61
1997-01;72.87
1996-12;86.37
1996-11;78.29
1996-10;72.65
1996-09;75.52
1996-08;73.67
1996-07;72.32
1996-06;78.76
1996-05;79.66
1996-04;76.84
1996-03;76.98
1996-02;74.96
1996-01;77.6
1995-12;76.97
1995-11;75.48
1995-10;77.19
1995-09;76.75
1995-08;77.7
1995-07;85.65
1995-06;76.3
1995-05;76.99
1995-04;78.51
1995-03;75.7
1995-02;78.94
1995-01;75.72
1994-12;77.15
1994-11;80.12
1994-10;76.01
1994-09;75.96
1994-08;82.33
1994-07;83.79
1994-06;74.06
1994-05;71.76
1994-04;72.17
1994-03;80.61
1994-02;65.44
1994-01;76.06
1993-12;75.0
1993-11;73.96
1993-10;75.16
1993-09;81.32
1993-08;75.49
1993-07;74.18
1993-06;73.45
1993-05;73.46
1993-04;77.38
1993-03;77.8
1993-02;74.65
1993-01;72.8
1992-12;73.06
1992-11;71.54
1992-10;74.33
1992-09;71.92
1992-08;71.56
1992-07;73.65
1992-06;76.17
1992-05;83.59
1992-04;70.36
1992-03;74.49
1992-02;71.73
1992-01;74.62
1991-12;75.22
1991-11;76.87
1991-10;71.89
1991-09;84.64
1991-08;72.74
1991-07;72.79
1991-06;72.09
1991-05;73.98
1991-04;79.4
1991-03;72.55
1991-02;77.27
1991-01;85.91
1990-12;65.67
1990-11;76.3
1990-10;77.25
1990-09;77.59
1990-08;89.37
1990-07;80.27
1990-06;85.47
1990-05;86.92
1990-04;83.44
1990-03;84.42
1990-02;90.38
1990-01;89.64
