dates;indices
2022-03;72.59
2022-02;82.21
2022-01;83.39
2021-12;92.62
2021-11;90.88
2021-10;93.57
2021-09;82.45
2021-08;84.72
2021-07;83.51
2021-06;89.5
2021-05;85.08
2021-04;99.06
2021-03;86.54
2021-02;90.22
2021-01;86.58
2020-12;72.07
2020-11;80.78
2020-10;98.93
2020-09;95.65
2020-08;69.85
2020-07;89.48
2020-06;89.77
2020-05;109.62
2020-04;93.31
2020-03;76.41
2020-02;111.12
2020-01;75.54
2019-12;86.3
2019-11;89.83
2019-10;82.35
2019-09;85.81
2019-08;92.94
2019-07;94.92
2019-06;99.77
2019-05;118.09
2019-04;88.23
2019-03;106.4
2019-02;99.49
2019-01;95.25
2018-12;89.02
2018-11;93.19
2018-10;98.85
2018-09;95.2
2018-08;90.89
2018-07;88.97
2018-06;91.41
2018-05;85.48
2018-04;90.38
2018-03;94.57
2018-02;96.98
2018-01;109.1
2017-12;102.78
2017-11;110.42
2017-10;100.8
2017-09;104.68
2017-08;95.92
2017-07;94.83
2017-06;74.47
2017-05;82.97
2017-04;78.11
2017-03;85.13
2017-02;88.91
2017-01;83.3
2016-12;95.47
2016-11;93.46
2016-10;73.59
2016-09;93.66
2016-08;112.2
2016-07;102.95
2016-06;88.72
2016-05;89.63
2016-04;95.75
2016-03;71.0
2016-02;88.54
2016-01;95.22
2015-12;101.93
2015-11;97.94
2015-10;102.14
2015-09;93.7
2015-08;103.5
2015-07;96.29
2015-06;101.08
2015-05;118.27
2015-04;103.53
2015-03;98.95
2015-02;97.7
2015-01;84.96
2014-12;86.55
2014-11;78.15
2014-10;82.37
2014-09;90.64
2014-08;95.91
2014-07;98.71
2014-06;109.48
2014-05;122.72
2014-04;110.58
2014-03;109.99
2014-02;100.51
2014-01;119.07
2013-12;110.07
2013-11;107.63
2013-10;103.26
2013-09;105.93
2013-08;97.81
2013-07;103.38
2013-06;106.79
2013-05;114.71
2013-04;102.62
2013-03;105.54
2013-02;101.38
2013-01;108.64
2012-12;110.07
2012-11;118.06
2012-10;115.22
2012-09;111.46
2012-08;111.53
2012-07;112.1
2012-06;110.37
2012-05;106.93
2012-04;107.55
2012-03;103.09
2012-02;104.16
2012-01;102.95
2011-12;93.71
2011-11;93.52
2011-10;102.81
2011-09;92.05
2011-08;93.85
2011-07;98.74
2011-06;90.77
2011-05;62.72
2011-04;89.9
2011-03;97.46
2011-02;96.82
2011-01;85.3
2010-12;94.5
2010-11;95.71
2010-10;97.36
2010-09;94.51
2010-08;94.57
2010-07;76.02
2010-06;74.15
2010-05;64.82
2010-04;83.62
2010-03;81.7
2010-02;98.12
2010-01;93.98
2009-12;88.6
2009-11;80.51
2009-10;73.97
2009-09;78.77
2009-08;82.73
2009-07;74.31
2009-06;77.64
2009-05;77.74
2009-04;65.01
2009-03;59.67
2009-02;57.12
2009-01;36.41
2008-12;64.63
2008-11;84.7
2008-10;94.63
2008-09;103.58
2008-08;102.64
2008-07;120.79
2008-06;123.2
2008-05;118.16
2008-04;119.86
2008-03;116.79
2008-02;114.28
2008-01;125.23
2007-12;125.97
2007-11;120.21
2007-10;122.73
2007-09;118.43
2007-08;102.27
2007-07;110.13
2007-06;109.0
2007-05;124.33
2007-04;120.22
2007-03;119.78
2007-02;107.43
2007-01;101.95
2006-12;98.84
2006-11;100.04
2006-10;92.07
2006-09;102.79
2006-08;111.34
2006-07;87.57
2006-06;106.97
2006-05;124.8
2006-04;106.08
2006-03;98.64
2006-02;103.82
2006-01;111.88
2005-12;114.11
2005-11;119.19
2005-10;120.2
2005-09;107.3
2005-08;120.91
2005-07;124.39
2005-06;125.2
2005-05;117.31
2005-04;110.72
2005-03;125.88
2005-02;125.2
2005-01;130.33
2004-12;132.31
2004-11;137.77
2004-10;143.37
2004-09;138.26
2004-08;140.92
2004-07;139.61
2004-06;139.74
2004-05;139.89
2004-04;142.41
2004-03;134.63
2004-02;146.91
2004-01;139.72
2003-12;157.26
2003-11;139.57
2003-10;138.43
2003-09;130.13
2003-08;113.6
2003-07;146.28
2003-06;137.31
2003-05;157.96
2003-04;166.44
2003-03;160.34
2003-02;159.55
2003-01;145.76
2002-12;131.41
2002-11;139.44
2002-10;148.71
2002-09;149.23
2002-08;137.17
2002-07;142.96
2002-06;174.11
2002-05;137.45
2002-04;145.86
2002-03;148.8
2002-02;145.47
2002-01;154.66
2001-12;158.56
2001-11;160.09
2001-10;147.31
2001-09;160.17
2001-08;160.71
2001-07;165.73
2001-06;174.52
2001-05;119.52
2001-04;117.48
2001-03;142.6
2001-02;158.68
2001-01;154.88
2000-12;177.9
2000-11;173.03
2000-10;172.96
2000-09;168.8
2000-08;177.36
2000-07;177.51
2000-06;187.0
2000-05;203.72
2000-04;194.55
2000-03;198.29
2000-02;195.95
2000-01;202.69
1999-12;160.19
1999-11;178.65
1999-10;178.34
1999-09;180.2
1999-08;197.26
1999-07;173.02
1999-06;189.11
1999-05;194.66
1999-04;184.95
1999-03;196.7
1999-02;179.86
1999-01;191.73
1998-12;196.1
1998-11;192.09
1998-10;197.67
1998-09;202.45
1998-08;206.24
1998-07;205.49
1998-06;237.34
1998-05;201.07
1998-04;208.1
1998-03;202.49
1998-02;221.46
1998-01;212.59
1997-12;198.67
1997-11;210.24
1997-10;207.6
1997-09;240.2
1997-08;213.13
1997-07;227.12
1997-06;216.3
1997-05;202.96
1997-04;213.78
1997-03;215.06
1997-02;213.78
1997-01;197.75
1996-12;211.04
1996-11;205.45
1996-10;225.19
1996-09;230.54
1996-08;223.32
1996-07;212.72
1996-06;217.38
1996-05;232.28
1996-04;231.45
1996-03;224.92
1996-02;217.0
1996-01;216.12
1995-12;221.39
1995-11;234.64
1995-10;227.42
1995-09;211.62
1995-08;225.84
1995-07;198.41
1995-06;220.04
1995-05;214.64
1995-04;210.54
1995-03;198.58
1995-02;197.15
1995-01;212.92
1994-12;206.1
1994-11;212.46
1994-10;198.62
1994-09;204.55
1994-08;206.7
1994-07;213.49
1994-06;203.03
1994-05;217.03
1994-04;207.78
1994-03;218.86
1994-02;207.55
1994-01;207.15
1993-12;211.2
1993-11;211.57
1993-10;201.77
1993-09;228.89
1993-08;182.82
1993-07;178.49
1993-06;177.87
1993-05;178.68
1993-04;183.28
1993-03;190.93
1993-02;255.35
1993-01;214.27
1992-12;203.19
1992-11;183.86
1992-10;194.82
1992-09;189.44
1992-08;188.75
1992-07;215.44
1992-06;229.63
1992-05;231.69
1992-04;240.73
1992-03;239.4
1992-02;249.29
1992-01;244.48
1991-12;230.95
1991-11;224.38
1991-10;235.52
1991-09;254.01
1991-08;248.54
1991-07;246.73
1991-06;241.77
1991-05;220.92
1991-04;253.44
1991-03;230.86
1991-02;227.3
1991-01;232.69
1990-12;242.74
1990-11;258.34
1990-10;265.55
1990-09;255.6
1990-08;253.79
1990-07;255.57
1990-06;252.37
1990-05;241.91
1990-04;239.07
1990-03;263.28
1990-02;241.64
1990-01;248.76
