dates;indices
2022-03;122.13
2022-02;114.4
2022-01;116.49
2021-12;133.01
2021-11;113.63
2021-10;120.49
2021-09;126.09
2021-08;108.46
2021-07;124.21
2021-06;136.74
2021-05;110.78
2021-04;125.67
2021-03;133.82
2021-02;123.58
2021-01;117.87
2020-12;136.33
2020-11;116.96
2020-10;118.93
2020-09;128.95
2020-08;105.82
2020-07;126.41
2020-06;124.81
2020-05;99.35
2020-04;100.59
2020-03;107.37
2020-02;99.91
2020-01;101.1
2019-12;100.78
2019-11;92.8
2019-10;102.69
2019-09;100.42
2019-08;84.57
2019-07;113.72
2019-06;95.3
2019-05;93.42
2019-04;102.56
2019-03;98.6
2019-02;89.2
2019-01;98.86
2018-12;100.3
2018-11;92.03
2018-10;108.2
2018-09;97.87
2018-08;87.6
2018-07;100.89
2018-06;108.08
2018-05;102.96
2018-04;100.64
2018-03;110.09
2018-02;94.03
2018-01;95.72
2017-12;101.48
2017-11;97.05
2017-10;99.76
2017-09;104.65
2017-08;85.35
2017-07;95.23
2017-06;111.61
2017-05;97.54
2017-04;94.98
2017-03;103.78
2017-02;85.63
2017-01;91.49
2016-12;114.51
2016-11;98.19
2016-10;97.78
2016-09;105.56
2016-08;88.92
2016-07;97.82
2016-06;111.62
2016-05;97.27
2016-04;98.72
2016-03;108.91
2016-02;95.32
2016-01;89.99
2015-12;116.83
2015-11;96.66
2015-10;101.32
2015-09;106.85
2015-08;85.53
2015-07;109.1
2015-06;107.95
2015-05;90.02
2015-04;104.59
2015-03;103.4
2015-02;88.54
2015-01;89.21
2014-12;113.46
2014-11;97.04
2014-10;111.64
2014-09;106.78
2014-08;76.24
2014-07;104.06
2014-06;107.67
2014-05;90.4
2014-04;104.37
2014-03;100.88
2014-02;90.17
2014-01;90.74
2013-12;117.32
2013-11;102.92
2013-10;116.67
2013-09;106.76
2013-08;81.63
2013-07;114.59
2013-06;108.09
2013-05;99.09
2013-04;105.99
2013-03;110.7
2013-02;98.65
2013-01;99.43
2012-12;115.07
2012-11;111.31
2012-10;124.03
2012-09;111.62
2012-08;91.38
2012-07;114.93
2012-06;118.48
2012-05;103.15
2012-04;108.38
2012-03;120.71
2012-02;113.09
2012-01;108.38
2011-12;120.1
2011-11;119.3
2011-10;120.53
2011-09;127.18
2011-08;98.2
2011-07;110.1
2011-06;127.63
2011-05;126.09
2011-04;108.57
2011-03;123.45
2011-02;106.61
2011-01;104.62
2010-12;128.36
2010-11;117.2
2010-10;115.27
2010-09;118.51
2010-08;94.06
2010-07;109.2
2010-06;122.68
2010-05;104.91
2010-04;109.25
2010-03;124.68
2010-02;101.98
2010-01;97.12
2009-12;119.07
2009-11;114.16
2009-10;114.43
2009-09;118.79
2009-08;84.76
2009-07;108.72
2009-06;117.72
2009-05;97.68
2009-04;114.02
2009-03;111.27
2009-02;97.99
2009-01;95.1
2008-12;116.38
2008-11;100.65
2008-10;116.5
2008-09;110.9
2008-08;86.24
2008-07;111.78
2008-06;114.03
2008-05;104.27
2008-04;110.22
2008-03;112.93
2008-02;101.58
2008-01;105.43
2007-12;104.63
2007-11;101.04
2007-10;104.78
2007-09;92.26
2007-08;77.6
2007-07;90.82
2007-06;102.38
2007-05;92.49
2007-04;94.24
2007-03;106.75
2007-02;86.67
2007-01;86.8
2006-12;99.48
2006-11;98.4
2006-10;93.35
2006-09;95.56
2006-08;78.1
2006-07;98.47
2006-06;100.8
2006-05;91.34
2006-04;87.67
2006-03;104.93
2006-02;81.01
2006-01;80.58
2005-12;102.17
2005-11;95.8
2005-10;88.81
2005-09;99.98
2005-08;78.27
2005-07;90.92
2005-06;106.1
2005-05;87.8
2005-04;89.09
2005-03;103.07
2005-02;81.62
2005-01;79.87
2004-12;103.21
2004-11;95.61
2004-10;89.13
2004-09;101.7
2004-08;77.87
2004-07;94.53
2004-06;108.09
2004-05;83.49
2004-04;90.15
2004-03;104.07
2004-02;82.13
2004-01;81.32
2003-12;102.14
2003-11;91.74
2003-10;91.27
2003-09;101.35
2003-08;74.83
2003-07;96.33
2003-06;103.34
2003-05;85.35
2003-04;92.41
2003-03;98.8
2003-02;82.13
2003-01;82.23
2002-12;102.32
2002-11;95.66
2002-10;95.48
2002-09;101.13
2002-08;79.21
2002-07;98.55
2002-06;103.88
2002-05;88.1
2002-04;92.17
2002-03;102.18
2002-02;84.07
2002-01;85.03
2001-12;98.33
2001-11;95.82
2001-10;91.32
2001-09;99.53
2001-08;79.83
2001-07;96.47
2001-06;105.69
2001-05;89.23
2001-04;89.74
2001-03;100.35
2001-02;81.66
2001-01;81.43
2000-12;98.16
2000-11;94.4
2000-10;90.25
2000-09;100.69
2000-08;79.67
2000-07;93.56
2000-06;104.56
2000-05;89.51
2000-04;85.82
2000-03;103.03
2000-02;83.96
2000-01;78.74
1999-12;100.91
1999-11;97.28
1999-10;93.15
1999-09;104.8
1999-08;79.13
1999-07;95.76
1999-06;107.92
1999-05;83.7
1999-04;88.53
1999-03;103.35
1999-02;81.78
1999-01;78.46
1998-12;101.2
1998-11;93.87
1998-10;91.74
1998-09;105.37
1998-08;78.68
1998-07;98.83
1998-06;107.64
1998-05;82.6
1998-04;91.86
1998-03;101.21
1998-02;81.52
1998-01;82.1
1997-12;102.5
1997-11;92.97
1997-10;94.1
1997-09;102.1
1997-08;75.61
1997-07;95.75
1997-06;103.19
1997-05;84.43
1997-04;92.52
1997-03;94.8
1997-02;81.36
1997-01;80.99
1996-12;95.73
1996-11;91.98
1996-10;91.64
1996-09;100.8
1996-08;76.99
1996-07;96.1
1996-06;100.74
1996-05;84.75
1996-04;87.1
1996-03;94.42
1996-02;82.24
1996-01;79.27
1995-12;91.33
1995-11;92.1
1995-10;87.35
1995-09;98.4
1995-08;75.74
1995-07;88.08
1995-06;102.78
1995-05;83.72
1995-04;82.15
1995-03;96.67
1995-02;77.46
1995-01;75.87
1994-12;89.27
1994-11;89.75
1994-10;83.19
1994-09;96.44
1994-08;74.81
1994-07;87.33
1994-06;100.58
1994-05;79.59
1994-04;80.01
1994-03;93.99
1994-02;75.88
1994-01;72.46
1993-12;93.2
1993-11;87.58
1993-10;81.82
1993-09;96.96
1993-08;71.56
1993-07;86.93
1993-06;100.26
1993-05;75.0
1993-04;81.97
1993-03;92.94
1993-02;74.88
1993-01;70.33
1992-12;92.34
1992-11;86.6
1992-10;83.79
1992-09;98.58
1992-08;72.28
1992-07;91.74
1992-06;103.16
1992-05;77.85
1992-04;86.25
1992-03;93.31
1992-02;77.26
1992-01;75.93
1991-12;86.04
1991-11;87.74
1991-10;85.36
1991-09;93.46
1991-08;71.52
1991-07;92.02
1991-06;97.31
1991-05;79.65
1991-04;85.8
1991-03;91.55
1991-02;76.96
1991-01;76.22
1990-12;84.63
1990-11;85.69
1990-10;83.89
1990-09;89.08
1990-08;70.4
1990-07;85.64
1990-06;94.83
1990-05;80.19
1990-04;80.56
1990-03;90.53
1990-02;73.41
1990-01;71.15
