dates;indices
2022-03;123.53
2022-02;126.61
2022-01;118.16
2021-12;100.28
2021-11;116.63
2021-10;121.93
2021-09;23.21
2021-08;119.77
2021-07;108.49
2021-06;111.13
2021-05;103.1
2021-04;41.51
2021-03;121.62
2021-02;121.99
2021-01;118.73
2020-12;126.76
2020-11;135.53
2020-10;107.83
2020-09;69.1
2020-08;93.03
2020-07;102.58
2020-06;89.3
2020-05;92.66
2020-04;90.76
2020-03;113.21
2020-02;93.61
2020-01;105.32
2019-12;119.75
2019-11;93.08
2019-10;84.87
2019-09;93.45
2019-08;76.27
2019-07;100.85
2019-06;118.38
2019-05;120.41
2019-04;117.36
2019-03;119.0
2019-02;135.53
2019-01;133.31
2018-12;131.47
2018-11;112.26
2018-10;119.34
2018-09;101.02
2018-08;105.68
2018-07;98.08
2018-06;102.03
2018-05;77.91
2018-04;52.85
2018-03;23.2
2018-02;84.65
2018-01;99.28
2017-12;100.74
2017-11;111.53
2017-10;118.58
2017-09;110.08
2017-08;107.07
2017-07;95.01
2017-06;95.67
2017-05;95.55
2017-04;117.16
2017-03;113.23
2017-02;114.27
2017-01;91.3
2016-12;123.92
2016-11;122.0
2016-10;77.29
2016-09;129.32
2016-08;143.38
2016-07;139.32
2016-06;140.54
2016-05;137.65
2016-04;122.78
2016-03;152.15
2016-02;160.42
2016-01;141.07
2015-12;85.93
2015-11;92.71
2015-10;90.8
2015-09;96.73
2015-08;88.73
2015-07;102.89
2015-06;97.41
2015-05;111.25
2015-04;118.58
2015-03;79.12
2015-02;107.27
2015-01;128.59
2014-12;21.33
2014-11;21.42
2014-10;44.9
2014-09;24.36
2014-08;45.97
2014-07;16.58
2014-06;23.48
2014-05;42.41
2014-04;42.35
2014-03;40.9
2014-02;37.38
2014-01;14.01
2013-12;26.55
2013-11;48.42
2013-10;207.49
2013-09;493.86
2013-08;536.62
2013-07;547.18
2013-06;583.87
2013-05;588.37
2013-04;587.26
2013-03;583.77
2013-02;609.84
2013-01;595.63
2012-12;619.95
2012-11;634.63
2012-10;644.34
2012-09;680.33
2012-08;627.87
2012-07;608.36
2012-06;646.72
2012-05;614.48
2012-04;620.55
2012-03;624.68
2012-02;651.42
2012-01;655.18
2011-12;687.1
2011-11;674.04
2011-10;700.05
2011-09;461.5
2011-08;664.99
2011-07;692.93
2011-06;722.2
2011-05;665.8
2011-04;510.77
2011-03;541.73
2011-02;769.79
2011-01;823.69
2010-12;835.01
2010-11;1038.6
2010-10;756.3
2010-09;826.86
2010-08;840.4
2010-07;862.14
2010-06;735.54
2010-05;821.09
2010-04;731.01
2010-03;905.07
2010-02;855.83
2010-01;855.21
2009-12;811.32
2009-11;872.43
2009-10;924.84
2009-09;925.57
2009-08;900.3
2009-07;951.16
2009-06;935.51
2009-05;953.67
2009-04;965.55
2009-03;996.21
2009-02;1011.22
2009-01;991.12
2008-12;1065.52
2008-11;1040.22
2008-10;629.25
2008-09;693.09
2008-08;984.61
2008-07;1018.16
2008-06;1030.84
2008-05;1025.82
2008-04;1044.82
2008-03;1065.18
2008-02;1037.57
2008-01;1053.64
2007-12;1014.84
2007-11;979.61
2007-10;1125.91
2007-09;1094.31
2007-08;1109.61
2007-07;1126.0
2007-06;1151.21
2007-05;1028.04
2007-04;654.72
2007-03;1109.9
2007-02;1096.59
2007-01;1071.93
2006-12;1092.39
2006-11;1131.41
2006-10;1133.5
2006-09;1100.66
2006-08;1135.36
2006-07;1011.86
2006-06;1106.59
2006-05;1176.28
2006-04;1237.64
2006-03;1152.82
2006-02;1216.04
2006-01;1200.57
2005-12;1142.35
2005-11;819.29
2005-10;606.81
2005-09;581.48
2005-08;1058.92
2005-07;1182.86
2005-06;1341.45
2005-05;1349.74
2005-04;1295.82
2005-03;1271.62
2005-02;1221.28
2005-01;1281.04
2004-12;1252.5
2004-11;1151.85
2004-10;1328.92
2004-09;1317.28
2004-08;1311.19
2004-07;1380.18
2004-06;1312.42
2004-05;1439.3
2004-04;1446.82
2004-03;1402.38
2004-02;1440.3
2004-01;1411.93
2003-12;1460.19
2003-11;1301.41
2003-10;1118.46
2003-09;1479.78
2003-08;1481.82
2003-07;1455.55
2003-06;1440.26
2003-05;1521.39
2003-04;1563.24
2003-03;1573.34
2003-02;1574.07
2003-01;1632.26
2002-12;1684.44
2002-11;1407.35
2002-10;1548.8
2002-09;1711.74
2002-08;1681.88
2002-07;1755.84
2002-06;1848.8
2002-05;1755.83
2002-04;1597.77
2002-03;1656.54
2002-02;1691.09
2002-01;1697.78
2001-12;1263.59
2001-11;1248.23
2001-10;1660.37
2001-09;1695.21
2001-08;1752.14
2001-07;1762.52
2001-06;1985.29
2001-05;1833.86
2001-04;1846.67
2001-03;1871.42
2001-02;1822.05
2001-01;1876.88
2000-12;1910.67
2000-11;1927.08
2000-10;1941.92
