dates;indices
2022-02;74.53
2022-01;80.74
2021-12;78.34
2021-11;77.36
2021-10;66.71
2021-09;68.74
2021-08;82.59
2021-07;80.59
2021-06;79.92
2021-05;82.66
2021-04;73.04
2021-03;84.87
2021-02;77.85
2021-01;85.9
2020-12;85.2
2020-11;84.22
2020-10;85.15
2020-09;78.24
2020-08;83.68
2020-07;82.03
2020-06;73.26
2020-05;53.75
2020-04;57.78
2020-03;87.71
2020-02;83.41
2020-01;87.72
2019-12;88.42
2019-11;88.67
2019-10;94.62
2019-09;88.87
2019-08;90.55
2019-07;83.51
2019-06;74.3
2019-05;73.2
2019-04;89.67
2019-03;93.27
2019-02;86.42
2019-01;93.48
2018-12;93.21
2018-11;90.84
2018-10;96.47
2018-09;91.56
2018-08;94.5
2018-07;94.82
2018-06;93.61
2018-05;93.66
2018-04;93.53
2018-03;95.03
2018-02;83.16
2018-01;90.34
2017-12;92.67
2017-11;91.34
2017-10;93.02
2017-09;90.3
2017-08;90.84
2017-07;91.25
2017-06;89.12
2017-05;95.04
2017-04;93.23
2017-03;91.76
2017-02;80.69
2017-01;91.03
2016-12;95.09
2016-11;91.37
2016-10;96.41
2016-09;92.76
2016-08;99.02
2016-07;100.53
2016-06;96.33
2016-05;100.84
2016-04;101.79
2016-03;103.12
2016-02;98.31
2016-01;101.03
2015-12;103.06
2015-11;101.33
2015-10;101.74
2015-09;96.47
2015-08;100.94
2015-07;105.89
2015-06;102.35
2015-05;106.73
2015-04;99.76
2015-03;100.35
2015-02;88.03
2015-01;93.33
2014-12;87.94
2014-11;84.73
2014-10;91.42
2014-09;87.17
2014-08;90.27
2014-07;89.47
2014-06;84.02
2014-05;90.75
2014-04;87.22
2014-03;88.97
2014-02;78.75
2014-01;85.94
2013-12;89.68
2013-11;87.71
2013-10;100.74
2013-09;118.41
2013-08;132.86
2013-07;129.39
2013-06;123.0
2013-05;125.87
2013-04;121.02
2013-03;125.31
2013-02;115.41
2013-01;119.28
2012-12;127.5
2012-11;125.95
2012-10;128.92
2012-09;127.5
2012-08;131.4
2012-07;129.1
2012-06;129.54
2012-05;133.3
2012-04;130.95
2012-03;132.93
2012-02;122.32
2012-01;129.0
2011-12;137.89
2011-11;136.35
2011-10;142.61
2011-09;128.0
2011-08;144.04
2011-07;143.33
2011-06;142.07
2011-05;146.92
2011-04;134.0
2011-03;138.87
2011-02;136.33
2011-01;155.28
2010-12;156.98
2010-11;165.64
2010-10;153.8
2010-09;152.78
2010-08;156.27
2010-07;159.01
2010-06;146.63
2010-05;145.38
2010-04;141.09
2010-03;154.66
2010-02;131.92
2010-01;149.87
2009-12;150.22
2009-11;150.88
2009-10;159.85
2009-09;153.52
2009-08;157.36
2009-07;159.68
2009-06;158.99
2009-05;163.09
2009-04;159.92
2009-03;166.47
2009-02;157.73
2009-01;160.02
2008-12;172.31
2008-11;163.13
2008-10;145.87
2008-09;145.67
2008-08;171.23
2008-07;176.85
2008-06;169.29
2008-05;173.92
2008-04;173.11
2008-03;179.9
2008-02;164.14
2008-01;179.23
2007-12;178.37
2007-11;167.73
2007-10;183.8
2007-09;174.57
2007-08;179.85
2007-07;181.7
2007-06;177.46
2007-05;177.7
2007-04;145.69
2007-03;180.26
2007-02;152.45
2007-01;173.06
2006-12;187.74
2006-11;186.55
2006-10;193.68
2006-09;185.54
2006-08;187.88
2006-07;178.31
2006-06;179.45
2006-05;191.61
2006-04;188.5
2006-03;191.02
2006-02;181.05
2006-01;198.64
2005-12;196.28
2005-11;169.1
2005-10;163.32
2005-09;155.75
2005-08;189.84
2005-07;192.05
2005-06;192.39
2005-05;203.38
2005-04;191.63
2005-03;203.2
2005-02;179.84
2005-01;209.12
2004-12;205.91
2004-11;190.97
2004-10;204.32
2004-09;200.49
2004-08;206.64
2004-07;211.24
2004-06;200.24
2004-05;227.03
2004-04;216.57
2004-03;223.74
2004-02;210.49
2004-01;224.2
2003-12;231.94
2003-11;207.45
2003-10;205.31
2003-09;217.4
2003-08;221.59
2003-07;223.99
2003-06;216.75
2003-05;238.55
2003-04;232.3
2003-03;243.95
2003-02;219.97
2003-01;240.13
2002-12;247.74
2002-11;227.68
2002-10;245.63
2002-09;245.52
2002-08;250.26
2002-07;249.91
2002-06;241.53
2002-05;257.01
2002-04;248.26
2002-03;265.63
2002-02;237.8
2002-01;263.51
2001-12;236.37
2001-11;227.53
2001-10;262.66
2001-09;256.35
2001-08;266.5
2001-07;261.85
2001-06;256.5
2001-05;269.38
2001-04;260.07
2001-03;277.21
2001-02;250.89
2001-01;278.98
2000-12;285.31
2000-11;268.06
2000-10;281.86
2000-09;270.96
2000-08;288.48
2000-07;266.71
2000-06;209.58
2000-05;244.41
2000-04;244.82
2000-03;283.03
2000-02;268.73
2000-01;280.52
1999-12;277.39
1999-11;291.77
1999-10;307.53
1999-09;292.91
1999-08;299.74
1999-07;307.01
1999-06;258.14
1999-05;204.62
1999-04;273.23
1999-03;310.92
1999-02;275.75
1999-01;301.9
1998-12;316.0
1998-11;320.72
1998-10;323.12
1998-09;306.77
1998-08;317.43
1998-07;323.29
1998-06;274.36
1998-05;295.51
1998-04;314.71
1998-03;317.65
1998-02;302.29
1998-01;334.46
1997-12;346.27
1997-11;326.07
