dates;indices
2022-03;74.65
2022-02;78.47
2022-01;78.96
2021-12;79.84
2021-11;79.63
2021-10;79.26
2021-09;79.62
2021-08;77.55
2021-07;77.04
2021-06;73.67
2021-05;73.3
2021-04;73.58
2021-03;80.29
2021-02;74.63
2021-01;72.52
2020-12;83.45
2020-11;95.53
2020-10;94.01
2020-09;102.83
2020-08;87.78
2020-07;88.58
2020-06;88.43
2020-05;88.08
2020-04;89.42
2020-03;88.53
2020-02;93.59
2020-01;89.2
2019-12;88.55
2019-11;86.87
2019-10;89.27
2019-09;86.57
2019-08;87.26
2019-07;90.4
2019-06;94.0
2019-05;95.59
2019-04;93.76
2019-03;90.5
2019-02;96.88
2019-01;97.19
2018-12;93.71
2018-11;91.13
2018-10;97.03
2018-09;95.23
2018-08;92.22
2018-07;92.07
2018-06;84.9
2018-05;98.74
2018-04;97.34
2018-03;96.92
2018-02;93.18
2018-01;98.19
2017-12;95.16
2017-11;98.87
2017-10;96.2
2017-09;98.67
2017-08;102.99
2017-07;101.71
2017-06;103.44
2017-05;97.21
2017-04;97.98
2017-03;103.25
2017-02;103.78
2017-01;99.23
2016-12;104.06
2016-11;104.54
2016-10;103.04
2016-09;106.61
2016-08;104.89
2016-07;100.57
2016-06;94.83
2016-05;100.25
2016-04;99.51
2016-03;95.52
2016-02;94.91
2016-01;95.74
2015-12;104.88
2015-11;90.06
2015-10;88.82
2015-09;96.47
2015-08;96.66
2015-07;95.92
2015-06;105.81
2015-05;104.03
2015-04;104.11
2015-03;105.4
2015-02;103.1
2015-01;104.74
2014-12;104.13
2014-11;111.03
2014-10;104.54
2014-09;102.87
2014-08;98.05
2014-07;106.82
2014-06;105.99
2014-05;97.66
2014-04;99.85
2014-03;98.95
2014-02;102.31
2014-01;100.11
2013-12;96.39
2013-11;100.13
2013-10;98.06
2013-09;93.78
2013-08;96.35
2013-07;97.79
2013-06;96.77
2013-05;101.68
2013-04;101.54
2013-03;100.67
2013-02;97.48
2013-01;98.0
2012-12;88.79
2012-11;94.19
2012-10;96.94
2012-09;100.03
2012-08;94.31
2012-07;91.96
2012-06;92.61
2012-05;95.89
2012-04;91.19
2012-03;102.59
2012-02;93.38
2012-01;89.71
2011-12;97.05
2011-11;93.83
2011-10;94.38
2011-09;94.48
2011-08;95.92
2011-07;93.94
2011-06;90.58
2011-05;91.33
2011-04;89.74
2011-03;91.76
2011-02;91.86
2011-01;91.89
2010-12;97.11
2010-11;91.98
2010-10;90.79
2010-09;88.69
2010-08;87.21
2010-07;94.75
2010-06;91.14
2010-05;88.22
2010-04;93.59
2010-03;88.46
2010-02;88.13
2010-01;88.01
2009-12;87.85
2009-11;89.3
2009-10;87.84
2009-09;92.04
2009-08;90.55
2009-07;89.05
2009-06;88.19
2009-05;87.78
2009-04;87.88
2009-03;87.86
2009-02;88.6
2009-01;86.58
2008-12;92.52
2008-11;83.92
2008-10;86.4
2008-09;84.75
2008-08;86.91
2008-07;85.64
2008-06;78.01
2008-05;87.38
2008-04;82.42
2008-03;86.09
2008-02;88.87
2008-01;91.24
2007-12;90.88
2007-11;95.36
2007-10;95.79
2007-09;92.59
2007-08;87.45
2007-07;89.0
2007-06;91.91
2007-05;90.68
2007-04;91.93
2007-03;88.95
2007-02;86.33
2007-01;84.13
2006-12;86.38
2006-11;80.66
2006-10;81.76
2006-09;83.08
2006-08;83.59
2006-07;86.09
2006-06;91.08
2006-05;84.28
2006-04;83.24
2006-03;83.05
2006-02;82.38
2006-01;83.72
2005-12;80.95
2005-11;83.83
2005-10;81.74
2005-09;82.88
2005-08;80.26
2005-07;82.51
2005-06;79.78
2005-05;80.71
2005-04;80.26
2005-03;78.12
2005-02;77.6
2005-01;74.74
2004-12;72.98
2004-11;73.39
2004-10;72.26
2004-09;71.31
2004-08;70.11
2004-07;66.92
2004-06;67.28
2004-05;65.96
2004-04;67.47
2004-03;69.08
2004-02;76.18
2004-01;69.47
2003-12;74.02
2003-11;70.92
2003-10;69.62
2003-09;73.23
2003-08;83.52
2003-07;78.18
2003-06;80.01
2003-05;77.44
2003-04;73.93
2003-03;73.3
2003-02;70.8
2003-01;72.46
2002-12;68.5
2002-11;72.88
2002-10;70.17
2002-09;67.56
2002-08;65.07
2002-07;65.34
2002-06;65.32
2002-05;68.29
2002-04;71.47
2002-03;72.21
2002-02;73.3
2002-01;74.19
2001-12;70.1
2001-11;66.63
2001-10;64.53
2001-09;69.07
2001-08;71.68
2001-07;68.16
2001-06;69.29
2001-05;68.66
2001-04;67.67
2001-03;61.4
2001-02;66.3
2001-01;64.49
2000-12;70.66
2000-11;69.61
2000-10;69.77
2000-09;69.98
2000-08;70.37
2000-07;68.91
2000-06;67.87
2000-05;70.76
2000-04;63.05
2000-03;71.3
2000-02;69.98
2000-01;68.51
1999-12;68.07
1999-11;71.25
1999-10;71.76
1999-09;70.52
1999-08;66.04
1999-07;70.88
1999-06;59.59
1999-05;64.75
1999-04;66.21
1999-03;66.3
1999-02;66.58
1999-01;68.21
1998-12;69.13
1998-11;69.12
1998-10;70.11
1998-09;59.01
1998-08;73.31
1998-07;73.01
1998-06;75.97
1998-05;83.26
1998-04;71.51
1998-03;72.11
1998-02;72.83
1998-01;74.27
1997-12;72.74
1997-11;74.15
1997-10;74.16
1997-09;75.1
1997-08;79.62
1997-07;61.15
1997-06;69.73
1997-05;66.15
1997-04;69.7
1997-03;71.95
1997-02;69.29
1997-01;72.76
1996-12;68.68
1996-11;65.04
1996-10;64.9
1996-09;65.65
1996-08;60.72
1996-07;61.45
1996-06;81.08
1996-05;76.15
1996-04;78.29
1996-03;67.96
1996-02;66.87
1996-01;63.54
1995-12;68.5
1995-11;65.19
1995-10;64.28
1995-09;61.61
1995-08;66.14
1995-07;74.94
1995-06;62.2
1995-05;71.66
1995-04;68.14
1995-03;65.64
1995-02;67.99
1995-01;62.45
1994-12;60.93
1994-11;60.67
1994-10;61.92
1994-09;58.81
1994-08;60.96
1994-07;68.17
1994-06;52.2
1994-05;53.4
1994-04;46.25
1994-03;56.17
1994-02;52.88
1994-01;51.7
1993-12;51.5
1993-11;55.44
1993-10;54.94
1993-09;52.08
1993-08;52.06
1993-07;55.82
1993-06;56.61
1993-05;51.51
1993-04;54.16
1993-03;55.44
1993-02;53.33
1993-01;54.75
1992-12;53.27
1992-11;53.27
1992-10;49.93
1992-09;61.23
1992-08;50.75
1992-07;48.58
1992-06;52.68
1992-05;54.32
1992-04;52.83
1992-03;50.91
1992-02;54.23
1992-01;53.97
1991-12;52.04
1991-11;50.23
1991-10;48.88
1991-09;53.55
1991-08;50.02
1991-07;52.36
1991-06;47.47
1991-05;45.58
1991-04;53.81
1991-03;45.25
1991-02;41.85
1991-01;46.76
1990-12;44.79
1990-11;42.68
1990-10;45.0
1990-09;39.92
1990-08;42.3
1990-07;36.38
1990-06;38.01
1990-05;40.34
1990-04;35.65
1990-03;40.06
1990-02;41.46
1990-01;34.89
