dates;indices
2022-03;92.95
2022-02;96.6
2022-01;96.27
2021-12;95.42
2021-11;96.92
2021-10;96.84
2021-09;96.91
2021-08;96.6
2021-07;98.93
2021-06;95.59
2021-05;96.96
2021-04;97.6
2021-03;99.09
2021-02;96.06
2021-01;96.51
2020-12;96.0
2020-11;97.38
2020-10;96.94
2020-09;96.61
2020-08;95.78
2020-07;98.27
2020-06;99.72
2020-05;95.63
2020-04;94.99
2020-03;95.73
2020-02;96.69
2020-01;98.0
2019-12;97.73
2019-11;98.07
2019-10;98.28
2019-09;99.41
2019-08;98.29
2019-07;96.56
2019-06;98.05
2019-05;100.67
2019-04;99.27
2019-03;97.62
2019-02;98.32
2019-01;97.73
2018-12;99.55
2018-11;96.68
2018-10;97.25
2018-09;97.75
2018-08;96.78
2018-07;98.11
2018-06;98.22
2018-05;99.46
2018-04;98.34
2018-03;100.62
2018-02;98.81
2018-01;98.8
2017-12;98.72
2017-11;100.33
2017-10;100.79
2017-09;99.75
2017-08;101.15
2017-07;99.89
2017-06;99.34
2017-05;99.18
2017-04;100.21
2017-03;100.44
2017-02;99.82
2017-01;99.54
2016-12;99.52
2016-11;100.91
2016-10;98.15
2016-09;99.24
2016-08;99.72
2016-07;101.16
2016-06;100.52
2016-05;98.97
2016-04;99.78
2016-03;99.85
2016-02;101.37
2016-01;101.37
2015-12;100.93
2015-11;101.0
2015-10;101.93
2015-09;101.22
2015-08;101.26
2015-07;100.06
2015-06;100.04
2015-05;100.23
2015-04;99.3
2015-03;98.41
2015-02;98.94
2015-01;96.67
2014-12;101.02
2014-11;98.27
2014-10;98.84
2014-09;103.59
2014-08;101.99
2014-07;102.73
2014-06;101.99
2014-05;103.16
2014-04;102.62
2014-03;103.03
2014-02;100.75
2014-01;101.61
2013-12;102.35
2013-11;100.16
2013-10;100.63
2013-09;100.31
2013-08;100.68
2013-07;99.36
2013-06;100.31
2013-05;104.7
2013-04;101.79
2013-03;98.71
2013-02;99.15
2013-01;99.54
2012-12;97.33
2012-11;97.65
2012-10;98.55
2012-09;97.52
2012-08;97.81
2012-07;96.53
2012-06;97.5
2012-05;97.9
2012-04;98.0
2012-03;97.08
2012-02;97.63
2012-01;96.37
2011-12;96.07
2011-11;101.13
2011-10;96.17
2011-09;95.73
2011-08;97.71
2011-07;98.29
2011-06;97.34
2011-05;93.31
2011-04;96.79
2011-03;97.46
2011-02;97.79
2011-01;96.47
2010-12;96.32
2010-11;98.89
2010-10;98.47
2010-09;97.6
2010-08;95.26
2010-07;96.12
2010-06;95.65
2010-05;95.31
2010-04;93.74
2010-03;95.41
2010-02;94.11
2010-01;94.37
2009-12;94.48
2009-11;93.04
2009-10;93.35
2009-09;91.1
2009-08;92.27
2009-07;96.28
2009-06;95.7
2009-05;94.35
2009-04;95.67
2009-03;93.85
2009-02;94.2
2009-01;94.11
2008-12;96.18
2008-11;95.32
2008-10;94.27
2008-09;96.69
2008-08;95.46
2008-07;96.3
2008-06;96.21
2008-05;97.52
2008-04;97.59
2008-03;100.59
2008-02;100.38
2008-01;101.13
2007-12;101.54
2007-11;97.81
2007-10;97.61
2007-09;96.09
