dates;indices
2022-03;80.81
2022-02;84.26
2022-01;84.98
2021-12;81.49
2021-11;76.08
2021-10;73.65
2021-09;81.47
2021-08;71.01
2021-07;78.73
2021-06;88.75
2021-05;98.54
2021-04;85.85
2021-03;89.93
2021-02;83.79
2021-01;84.01
2020-12;86.97
2020-11;93.04
2020-10;85.88
2020-09;73.64
2020-08;83.12
2020-07;97.99
2020-06;105.89
2020-05;95.08
2020-04;88.29
2020-03;76.31
2020-02;95.54
2020-01;80.44
2019-12;91.1
2019-11;89.73
2019-10;94.43
2019-09;88.62
2019-08;88.01
2019-07;80.27
2019-06;82.97
2019-05;115.41
2019-04;92.59
2019-03;85.22
2019-02;83.59
2019-01;98.46
2018-12;98.07
2018-11;101.37
2018-10;101.06
2018-09;99.74
2018-08;106.44
2018-07;108.84
2018-06;109.05
2018-05;100.16
2018-04;99.96
2018-03;101.7
2018-02;102.07
2018-01;110.06
2017-12;106.04
2017-11;108.43
2017-10;100.37
2017-09;100.27
2017-08;102.89
2017-07;99.5
2017-06;100.64
2017-05;99.06
2017-04;108.89
2017-03;108.87
2017-02;98.26
2017-01;114.57
2016-12;107.51
2016-11;98.96
2016-10;104.08
2016-09;105.32
2016-08;105.97
2016-07;113.76
2016-06;95.79
2016-05;105.64
2016-04;96.15
2016-03;94.84
2016-02;97.05
2016-01;95.59
2015-12;98.04
2015-11;98.45
2015-10;100.89
2015-09;103.53
2015-08;104.38
2015-07;108.14
2015-06;96.15
2015-05;93.54
2015-04;98.48
2015-03;99.82
2015-02;102.17
2015-01;96.41
2014-12;96.78
2014-11;101.65
2014-10;101.04
2014-09;93.1
2014-08;94.14
2014-07;96.85
2014-06;97.75
2014-05;110.08
2014-04;97.25
2014-03;98.35
2014-02;97.86
2014-01;90.65
2013-12;91.42
2013-11;88.67
2013-10;96.66
2013-09;94.68
2013-08;87.74
2013-07;74.13
2013-06;90.59
2013-05;90.86
2013-04;88.53
2013-03;84.51
2013-02;84.35
2013-01;88.89
2012-12;90.01
2012-11;94.64
2012-10;86.77
2012-09;90.93
2012-08;93.02
2012-07;71.27
2012-06;96.33
2012-05;85.72
2012-04;92.61
2012-03;89.31
2012-02;84.93
2012-01;92.1
2011-12;83.52
2011-11;74.98
2011-10;65.3
2011-09;81.98
2011-08;80.29
2011-07;83.76
2011-06;84.61
2011-05;79.52
2011-04;73.89
2011-03;83.37
2011-02;79.56
2011-01;75.8
2010-12;80.8
2010-11;76.93
2010-10;74.59
2010-09;78.77
2010-08;78.46
2010-07;77.68
2010-06;75.47
2010-05;80.22
2010-04;79.94
2010-03;76.88
2010-02;80.4
2010-01;83.62
2009-12;75.7
2009-11;82.77
2009-10;78.74
2009-09;78.83
2009-08;77.94
2009-07;68.16
2009-06;75.99
2009-05;79.99
2009-04;74.63
2009-03;74.19
2009-02;69.74
2009-01;75.55
2008-12;72.28
2008-11;70.34
2008-10;68.11
2008-09;67.74
2008-08;63.36
2008-07;63.72
2008-06;60.78
2008-05;58.39
2008-04;57.11
2008-03;60.09
2008-02;59.78
2008-01;55.39
2007-12;54.94
2007-11;53.08
2007-10;54.51
2007-09;50.78
2007-08;54.29
2007-07;58.4
2007-06;55.77
2007-05;52.68
2007-04;53.58
2007-03;52.25
2007-02;55.2
2007-01;50.46
2006-12;51.69
2006-11;50.97
2006-10;51.2
2006-09;45.62
2006-08;48.53
2006-07;53.11
2006-06;49.3
2006-05;50.78
2006-04;49.9
2006-03;48.28
2006-02;46.37
2006-01;48.73
2005-12;47.55
2005-11;48.11
2005-10;48.51
2005-09;46.96
2005-08;45.14
2005-07;46.4
2005-06;44.06
2005-05;46.19
2005-04;44.74
2005-03;42.57
2005-02;45.32
2005-01;42.78
2004-12;43.98
2004-11;43.21
2004-10;44.87
2004-09;43.75
2004-08;44.05
2004-07;42.52
2004-06;43.76
2004-05;43.96
2004-04;42.96
2004-03;42.74
2004-02;41.21
2004-01;40.77
2003-12;42.02
2003-11;44.76
2003-10;36.47
2003-09;42.24
2003-08;44.02
2003-07;48.21
2003-06;40.97
2003-05;38.59
2003-04;43.34
2003-03;43.31
2003-02;40.74
2003-01;41.86
