dates;indices
2022-03;77.02
2022-02;75.81
2022-01;76.19
2021-12;76.58
2021-11;75.53
2021-10;59.94
2021-09;76.56
2021-08;77.62
2021-07;78.63
2021-06;80.64
2021-05;81.59
2021-04;80.71
2021-03;79.82
2021-02;80.78
2021-01;82.44
2020-12;80.96
2020-11;81.07
2020-10;81.89
2020-09;82.45
2020-08;82.12
2020-07;80.88
2020-06;75.16
2020-05;49.41
2020-04;56.54
2020-03;84.49
2020-02;87.11
2020-01;86.92
2019-12;87.32
2019-11;89.81
2019-10;90.84
2019-09;88.91
2019-08;88.27
2019-07;82.43
2019-06;74.83
2019-05;72.05
2019-04;89.81
2019-03;91.09
2019-02;93.41
2019-01;92.64
2018-12;91.92
2018-11;91.62
2018-10;92.62
2018-09;91.95
2018-08;92.19
2018-07;93.45
2018-06;94.73
2018-05;93.06
2018-04;94.07
2018-03;94.27
2018-02;90.9
2018-01;90.55
2017-12;91.65
2017-11;92.27
2017-10;89.82
2017-09;90.98
2017-08;88.95
2017-07;89.22
2017-06;89.99
2017-05;93.42
2017-04;92.4
2017-03;89.63
2017-02;88.17
2017-01;91.86
2016-12;93.73
2016-11;92.39
2016-10;94.36
2016-09;93.39
2016-08;96.91
2016-07;97.01
2016-06;96.66
2016-05;97.73
2016-04;100.8
2016-03;100.47
2016-02;101.8
2016-01;101.92
2015-12;102.19
2015-11;103.36
2015-10;100.05
2015-09;97.42
2015-08;99.33
2015-07;101.98
2015-06;103.36
2015-05;103.26
2015-04;98.91
2015-03;98.47
2015-02;97.09
2015-01;94.57
2014-12;92.53
2014-11;91.72
2014-10;93.95
2014-09;92.91
2014-08;91.8
2014-07;91.33
2014-06;89.77
2014-05;91.17
2014-04;90.65
2014-03;90.81
2014-02;91.04
2014-01;93.7
2013-12;94.07
2013-11;93.18
2013-10;93.62
2013-09;96.77
2013-08;103.42
2013-07;96.58
2013-06;94.36
2013-05;91.26
2013-04;91.46
2013-03;94.01
2013-02;95.95
2013-01;90.6
2012-12;94.85
2012-11;96.18
2012-10;94.87
2012-09;94.22
2012-08;96.27
2012-07;92.54
2012-06;97.04
2012-05;97.5
2012-04;100.45
2012-03;99.79
2012-02;96.44
2012-01;97.14
2011-12;100.85
2011-11;103.31
2011-10;103.51
2011-09;107.05
2011-08;106.76
2011-07;105.44
2011-06;107.84
2011-05;109.83
2011-04;110.13
2011-03;109.65
2011-02;111.54
2011-01;112.2
2010-12;110.73
2010-11;111.08
2010-10;111.29
2010-09;110.82
2010-08;108.75
2010-07;111.66
2010-06;111.52
2010-05;98.49
2010-04;103.88
2010-03;102.87
2010-02;99.84
2010-01;103.53
2009-12;104.7
2009-11;106.2
2009-10;106.33
2009-09;105.45
2009-08;106.71
2009-07;107.11
2009-06;112.07
2009-05;108.72
2009-04;109.38
2009-03;109.42
2009-02;119.18
2009-01;104.68
2008-12;110.58
2008-11;108.46
2008-10;111.26
2008-09;112.54
2008-08;116.46
2008-07;121.24
2008-06;117.6
2008-05;115.57
2008-04;119.4
2008-03;118.84
2008-02;119.55
2008-01;120.07
2007-12;119.68
2007-11;117.72
2007-10;117.62
2007-09;116.87
2007-08;117.54
2007-07;119.56
2007-06;119.58
2007-05;119.6
2007-04;116.87
2007-03;116.05
2007-02;105.05
2007-01;111.32
2006-12;123.56
2006-11;128.06
2006-10;127.56
2006-09;128.66
2006-08;124.55
2006-07;124.29
2006-06;125.7
2006-05;124.2
2006-04;124.52
2006-03;124.23
2006-02;129.86
2006-01;129.2
2005-12;128.74
2005-11;129.89
2005-10;130.97
2005-09;131.72
2005-08;132.05
2005-07;128.41
2005-06;125.62
