dates;indices
2022-03;80.47
2022-02;84.1
2022-01;76.15
2021-12;75.84
2021-11;76.2
2021-10;77.28
2021-09;76.91
2021-08;87.49
2021-07;79.51
2021-06;82.64
2021-05;76.7
2021-04;86.53
2021-03;93.43
2021-02;85.99
2021-01;70.38
2020-12;86.02
2020-11;87.11
2020-10;68.01
2020-09;82.33
2020-08;80.67
2020-07;77.55
2020-06;75.01
2020-05;59.12
2020-04;46.0
2020-03;69.09
2020-02;86.48
2020-01;96.42
2019-12;94.45
2019-11;97.6
2019-10;99.51
2019-09;98.47
2019-08;111.67
2019-07;96.77
2019-06;92.64
2019-05;95.54
2019-04;91.0
2019-03;91.95
2019-02;97.28
2019-01;92.49
2018-12;98.27
2018-11;90.6
2018-10;96.66
2018-09;94.63
2018-08;120.21
2018-07;101.79
2018-06;95.45
2018-05;94.41
2018-04;96.68
2018-03;92.6
2018-02;91.88
2018-01;87.41
2017-12;103.68
2017-11;106.15
2017-10;102.57
2017-09;98.97
2017-08;97.91
2017-07;99.04
2017-06;107.24
2017-05;106.62
2017-04;103.3
2017-03;103.86
2017-02;97.66
2017-01;93.4
2016-12;93.07
2016-11;99.06
2016-10;91.7
2016-09;109.63
2016-08;94.53
2016-07;83.1
2016-06;94.74
2016-05;93.59
2016-04;92.45
2016-03;85.06
2016-02;101.99
2016-01;103.22
2015-12;98.65
2015-11;98.46
2015-10;97.27
2015-09;101.55
2015-08;95.97
2015-07;102.7
2015-06;100.18
2015-05;104.89
2015-04;103.0
2015-03;101.27
2015-02;96.38
2015-01;99.68
2014-12;90.78
2014-11;91.73
2014-10;93.97
2014-09;97.06
2014-08;87.82
2014-07;101.96
2014-06;103.26
2014-05;99.51
2014-04;104.4
2014-03;106.48
2014-02;106.61
2014-01;103.45
2013-12;113.09
2013-11;102.1
2013-10;104.25
2013-09;102.47
2013-08;92.18
2013-07;99.62
2013-06;98.4
2013-05;103.84
2013-04;107.34
2013-03;99.3
2013-02;108.62
2013-01;111.42
2012-12;126.74
2012-11;118.07
2012-10;123.79
2012-09;122.06
2012-08;103.1
2012-07;112.89
2012-06;129.64
2012-05;123.1
2012-04;124.15
2012-03;124.13
2012-02;107.49
2012-01;162.48
2011-12;144.86
2011-11;157.97
2011-10;159.6
2011-09;152.96
2011-08;171.95
2011-07;168.95
2011-06;148.61
2011-05;157.42
2011-04;161.68
2011-03;172.96
2011-02;165.11
2011-01;167.21
2010-12;152.52
2010-11;163.54
2010-10;156.78
2010-09;163.62
2010-08;170.86
2010-07;166.17
2010-06;164.73
2010-05;159.95
2010-04;157.6
2010-03;155.48
2010-02;153.8
2010-01;129.1
2009-12;144.48
2009-11;148.07
2009-10;153.32
2009-09;157.82
2009-08;150.26
2009-07;159.04
2009-06;157.37
2009-05;163.14
2009-04;152.91
2009-03;155.11
2009-02;159.91
2009-01;141.88
2008-12;144.19
2008-11;173.3
2008-10;180.31
2008-09;171.22
2008-08;200.38
2008-07;182.73
2008-06;184.26
2008-05;185.03
2008-04;189.97
2008-03;187.76
2008-02;190.93
2008-01;197.72
2007-12;193.89
2007-11;189.44
2007-10;190.5
2007-09;198.13
2007-08;189.31
2007-07;181.33
2007-06;178.0
2007-05;185.97
2007-04;192.52
2007-03;195.68
2007-02;179.84
2007-01;182.02
2006-12;212.26
2006-11;179.3
2006-10;176.75
2006-09;172.85
2006-08;184.86
2006-07;173.75
2006-06;182.9
2006-05;182.83
2006-04;176.86
2006-03;178.54
2006-02;179.82
2006-01;181.87
2005-12;191.51
2005-11;191.38
2005-10;185.1
2005-09;180.09
2005-08;180.86
2005-07;193.38
2005-06;185.13
2005-05;163.85
2005-04;177.33
2005-03;172.43
2005-02;162.96
2005-01;184.56
2004-12;183.7
2004-11;190.94
2004-10;184.66
2004-09;186.12
2004-08;184.65
2004-07;192.79
2004-06;193.8
2004-05;190.65
2004-04;198.98
2004-03;190.8
2004-02;201.39
2004-01;195.89
2003-12;193.93
2003-11;184.46
2003-10;192.11
2003-09;186.6
2003-08;186.75
2003-07;185.9
2003-06;181.14
2003-05;194.25
2003-04;191.72
2003-03;200.53
2003-02;187.48
2003-01;182.33
2002-12;174.06
2002-11;181.16
2002-10;175.4
2002-09;176.11
2002-08;183.69
2002-07;173.54
2002-06;182.07
2002-05;199.32
2002-04;182.89
2002-03;183.23
2002-02;193.09
2002-01;178.91
2001-12;184.87
2001-11;178.87
2001-10;175.91
2001-09;190.56
2001-08;183.85
2001-07;188.33
2001-06;201.06
2001-05;185.32
2001-04;168.22
2001-03;201.65
2001-02;197.5
2001-01;200.23
2000-12;194.91
2000-11;199.64
2000-10;210.86
2000-09;202.84
2000-08;227.07
2000-07;201.7
2000-06;198.97
2000-05;189.83
2000-04;183.43
2000-03;189.13
2000-02;180.95
2000-01;193.26
1999-12;191.57
1999-11;189.54
1999-10;197.76
1999-09;204.01
1999-08;195.09
1999-07;197.29
1999-06;193.1
1999-05;191.42
1999-04;192.19
1999-03;182.45
1999-02;180.69
1999-01;181.75
1998-12;183.74
1998-11;185.89
1998-10;158.74
1998-09;198.13
1998-08;181.93
1998-07;191.52
1998-06;192.74
1998-05;178.71
1998-04;194.56
1998-03;214.25
1998-02;205.6
1998-01;200.58
1997-12;219.36
1997-11;218.86
1997-10;209.61
1997-09;203.96
1997-08;202.65
1997-07;197.54
1997-06;203.25
1997-05;202.17
1997-04;234.96
1997-03;208.88
1997-02;210.91
1997-01;190.79
1996-12;210.25
1996-11;199.48
1996-10;205.82
1996-09;195.0
1996-08;201.24
1996-07;199.93
1996-06;195.75
1996-05;202.57
1996-04;195.68
1996-03;193.6
1996-02;197.87
1996-01;207.51
1995-12;201.07
1995-11;209.92
1995-10;207.28
1995-09;226.76
1995-08;220.06
1995-07;220.82
1995-06;227.82
1995-05;223.57
1995-04;230.37
1995-03;216.31
1995-02;222.92
1995-01;217.98
1994-12;215.41
1994-11;216.3
1994-10;226.55
1994-09;209.32
1994-08;225.04
1994-07;227.82
1994-06;221.9
1994-05;228.32
1994-04;208.33
1994-03;227.48
1994-02;204.37
1994-01;222.01
1993-12;218.06
1993-11;214.73
1993-10;219.95
1993-09;225.75
1993-08;221.06
1993-07;238.3
1993-06;216.12
1993-05;202.99
1993-04;222.79
1993-03;221.55
1993-02;238.74
1993-01;210.16
1992-12;219.13
1992-11;225.88
1992-10;214.04
1992-09;213.35
1992-08;220.45
1992-07;230.75
1992-06;233.45
1992-05;235.08
1992-04;245.11
1992-03;242.53
1992-02;241.98
1992-01;249.56
1991-12;242.12
1991-11;241.74
1991-10;244.04
1991-09;248.85
1991-08;247.65
1991-07;243.63
1991-06;248.68
1991-05;246.88
1991-04;247.09
1991-03;247.26
1991-02;255.08
1991-01;250.94
1990-12;276.46
1990-11;256.59
1990-10;257.22
1990-09;240.49
1990-08;282.47
1990-07;238.11
1990-06;243.04
1990-05;213.85
1990-04;226.32
1990-03;237.2
1990-02;232.74
1990-01;229.2
