dates;indices
2022-03;51.24
2022-02;50.45
2022-01;51.5
2021-12;49.48
2021-11;52.18
2021-10;50.75
2021-09;50.24
2021-08;44.02
2021-07;49.87
2021-06;47.99
2021-05;49.56
2021-04;42.57
2021-03;37.83
2021-02;42.89
2021-01;46.57
2020-12;50.46
2020-11;49.61
2020-10;52.48
2020-09;49.91
2020-08;53.16
2020-07;46.48
2020-06;40.36
2020-05;45.7
2020-04;21.31
2020-03;32.6
2020-02;53.64
2020-01;52.81
2019-12;57.04
2019-11;65.3
2019-10;54.74
2019-09;55.94
2019-08;52.43
2019-07;59.12
2019-06;58.58
2019-05;57.22
2019-04;50.77
2019-03;49.48
2019-02;51.05
2019-01;55.04
2018-12;50.25
2018-11;54.99
2018-10;55.5
2018-09;63.55
2018-08;79.29
2018-07;67.71
2018-06;61.17
2018-05;60.53
2018-04;82.85
2018-03;76.72
2018-02;78.0
2018-01;69.88
2017-12;70.49
2017-11;73.03
2017-10;78.63
2017-09;78.18
2017-08;85.92
2017-07;84.1
2017-06;81.35
2017-05;78.79
2017-04;83.85
2017-03;86.83
2017-02;81.55
2017-01;78.76
2016-12;84.04
2016-11;78.44
2016-10;84.14
2016-09;81.86
2016-08;90.72
2016-07;81.57
2016-06;89.17
2016-05;91.81
2016-04;86.43
2016-03;87.99
2016-02;101.65
2016-01;93.77
2015-12;96.83
2015-11;92.82
2015-10;90.81
2015-09;100.07
2015-08;92.3
2015-07;101.6
2015-06;103.11
2015-05;98.03
2015-04;109.83
2015-03;111.04
2015-02;97.17
2015-01;106.39
2014-12;91.41
2014-11;102.18
2014-10;108.5
2014-09;95.04
2014-08;97.03
2014-07;107.82
2014-06;113.48
2014-05;104.01
2014-04;113.97
2014-03;102.99
2014-02;96.68
2014-01;89.91
2013-12;113.85
2013-11;115.83
2013-10;104.7
2013-09;113.35
2013-08;109.71
2013-07;101.02
2013-06;105.55
2013-05;114.57
2013-04;108.49
2013-03;108.39
2013-02;112.9
2013-01;119.4
2012-12;121.45
2012-11;111.11
2012-10;110.77
2012-09;112.68
2012-08;122.97
2012-07;113.66
2012-06;105.13
2012-05;124.12
2012-04;95.32
2012-03;97.8
2012-02;113.81
2012-01;129.74
2011-12;112.61
2011-11;117.01
2011-10;114.2
2011-09;122.13
2011-08;114.97
2011-07;158.06
2011-06;146.06
2011-05;147.76
2011-04;140.32
2011-03;157.05
2011-02;152.27
2011-01;144.73
2010-12;130.11
2010-11;148.94
2010-10;141.79
2010-09;125.5
2010-08;123.13
2010-07;161.5
2010-06;155.0
2010-05;155.78
2010-04;139.9
2010-03;152.96
2010-02;154.79
2010-01;146.17
2009-12;153.48
2009-11;147.39
2009-10;145.8
2009-09;151.87
2009-08;157.55
2009-07;146.03
2009-06;144.77
2009-05;146.35
2009-04;149.61
2009-03;141.08
2009-02;145.63
2009-01;144.66
2008-12;151.69
2008-11;145.99
2008-10;162.73
2008-09;163.77
2008-08;182.51
2008-07;163.58
2008-06;168.26
2008-05;161.65
2008-04;180.34
2008-03;177.83
2008-02;189.76
2008-01;195.13
2007-12;182.49
2007-11;196.11
2007-10;200.88
2007-09;190.38
2007-08;195.65
2007-07;192.18
2007-06;205.5
2007-05;209.57
2007-04;216.25
2007-03;213.34
2007-02;207.56
2007-01;199.94
2006-12;190.71
2006-11;202.65
2006-10;202.25
2006-09;223.22
2006-08;213.67
2006-07;223.72
2006-06;198.57
2006-05;224.65
2006-04;214.7
2006-03;220.1
2006-02;233.35
2006-01;214.67
2005-12;206.78
2005-11;218.96
2005-10;213.97
2005-09;229.08
2005-08;227.52
2005-07;242.4
2005-06;238.16
2005-05;241.65
2005-04;246.41
2005-03;257.71
2005-02;262.42
2005-01;280.42
2004-12;284.09
2004-11;284.65
2004-10;282.29
2004-09;290.75
2004-08;294.96
2004-07;300.23
2004-06;307.14
2004-05;299.32
2004-04;301.33
2004-03;312.39
2004-02;318.54
2004-01;320.11
2003-12;318.21
2003-11;326.97
2003-10;346.56
2003-09;321.15
2003-08;341.83
2003-07;314.9
2003-06;340.91
2003-05;350.56
2003-04;369.96
2003-03;376.46
2003-02;370.37
2003-01;380.05
2002-12;389.42
2002-11;398.76
2002-10;405.1
2002-09;404.79
2002-08;434.99
2002-07;408.35
2002-06;439.93
2002-05;445.8
2002-04;479.34
2002-03;447.3
2002-02;448.67
2002-01;453.94
2001-12;465.65
2001-11;457.15
2001-10;491.47
2001-09;473.01
2001-08;453.46
2001-07;485.13
2001-06;482.49
2001-05;536.29
2001-04;500.11
2001-03;496.77
2001-02;497.51
2001-01;487.27
2000-12;519.06
2000-11;528.57
2000-10;543.76
2000-09;571.72
2000-08;521.61
2000-07;565.71
2000-06;556.68
2000-05;599.97
2000-04;549.24
2000-03;566.26
2000-02;584.26
2000-01;586.97
1999-12;596.69
1999-11;596.3
1999-10;600.73
1999-09;601.96
1999-08;592.01
1999-07;615.31
1999-06;646.67
1999-05;669.12
1999-04;668.19
1999-03;672.02
1999-02;678.73
1999-01;701.95
1998-12;669.13
1998-11;702.52
1998-10;675.47
1998-09;693.71
1998-08;695.36
1998-07;670.13
1998-06;705.75
1998-05;686.28
1998-04;725.08
1998-03;723.46
1998-02;734.78
1998-01;750.34
1997-12;758.21
1997-11;728.87
1997-10;705.85
1997-09;742.95
1997-08;840.56
1997-07;769.08
1997-06;794.97
1997-05;751.67
1997-04;852.92
1997-03;815.78
1997-02;794.98
1997-01;778.48
1996-12;766.87
1996-11;772.86
1996-10;788.81
1996-09;782.71
1996-08;882.4
1996-07;807.66
1996-06;783.86
1996-05;814.69
1996-04;790.27
1996-03;794.67
1996-02;823.41
1996-01;825.28
1995-12;858.54
1995-11;877.8
1995-10;872.69
1995-09;882.35
1995-08;872.37
1995-07;912.69
1995-06;907.09
1995-05;921.65
1995-04;832.58
1995-03;893.4
1995-02;884.58
1995-01;904.78
1994-12;949.13
1994-11;922.58
1994-10;919.97
1994-09;940.5
1994-08;930.36
1994-07;984.31
1994-06;910.54
1994-05;931.79
1994-04;903.95
1994-03;915.32
1994-02;944.26
1994-01;941.85
1993-12;917.43
1993-11;901.64
1993-10;934.07
1993-09;956.99
1993-08;926.58
1993-07;933.12
1993-06;949.5
1993-05;941.32
1993-04;969.05
1993-03;972.62
1993-02;980.17
1993-01;974.02
1992-12;985.46
1992-11;1002.44
1992-10;983.95
1992-09;972.04
1992-08;969.24
1992-07;921.25
1992-06;1006.72
1992-05;971.3
1992-04;1024.99
1992-03;1026.13
1992-02;1025.28
1992-01;1020.64
1991-12;997.78
1991-11;1046.18
1991-10;1042.62
1991-09;975.99
1991-08;1126.03
1991-07;1039.15
1991-06;1069.13
1991-05;1076.46
1991-04;1096.84
1991-03;1085.11
1991-02;1068.84
1991-01;1107.34
1990-12;1181.49
1990-11;1115.71
1990-10;1152.6
1990-09;1149.95
1990-08;1199.56
1990-07;1198.69
1990-06;1158.19
1990-05;1237.03
1990-04;1108.42
1990-03;1181.21
1990-02;1172.32
1990-01;1147.73
