dates;indices
2022-03;116.33
2022-02;118.05
2022-01;118.92
2021-12;122.38
2021-11;119.11
2021-10;115.94
2021-09;104.92
2021-08;121.22
2021-07;119.91
2021-06;126.77
2021-05;126.55
2021-04;122.94
2021-03;123.26
2021-02;106.88
2021-01;115.98
2020-12;98.05
2020-11;127.28
2020-10;113.73
2020-09;122.43
2020-08;108.62
2020-07;118.53
2020-06;97.42
2020-05;57.08
2020-04;52.78
2020-03;87.47
2020-02;108.71
2020-01;106.93
2019-12;104.45
2019-11;101.26
2019-10;105.19
2019-09;130.32
2019-08;126.4
2019-07;105.49
2019-06;118.74
2019-05;118.28
2019-04;113.61
2019-03;114.04
2019-02;112.42
2019-01;111.19
2018-12;108.65
2018-11;107.38
2018-10;119.87
2018-09;106.49
2018-08;107.15
2018-07;110.71
2018-06;109.93
2018-05;108.56
2018-04;112.63
2018-03;113.13
2018-02;112.63
2018-01;106.43
2017-12;104.06
2017-11;120.22
2017-10;104.98
2017-09;101.49
2017-08;108.41
2017-07;110.55
2017-06;110.23
2017-05;106.44
2017-04;105.52
2017-03;99.61
2017-02;103.66
2017-01;105.89
2016-12;108.22
2016-11;107.49
2016-10;103.01
2016-09;106.96
2016-08;103.17
2016-07;98.21
2016-06;95.97
2016-05;87.27
2016-04;105.97
2016-03;101.81
2016-02;98.02
2016-01;104.67
2015-12;99.33
2015-11;93.8
2015-10;95.59
2015-09;110.43
2015-08;91.09
2015-07;94.81
2015-06;105.3
2015-05;102.64
2015-04;99.15
2015-03;103.53
2015-02;101.56
2015-01;102.78
2014-12;99.16
2014-11;101.53
2014-10;100.95
2014-09;90.54
2014-08;93.87
2014-07;95.76
2014-06;91.28
2014-05;96.74
2014-04;93.63
2014-03;103.12
2014-02;112.56
2014-01;95.69
2013-12;98.19
2013-11;95.75
2013-10;100.77
2013-09;94.37
2013-08;103.27
2013-07;99.49
2013-06;102.37
2013-05;100.93
2013-04;108.93
2013-03;101.08
2013-02;102.92
2013-01;102.67
2012-12;102.36
2012-11;99.39
2012-10;99.91
2012-09;103.29
2012-08;103.73
2012-07;105.8
2012-06;100.52
2012-05;100.44
2012-04;100.06
2012-03;98.93
2012-02;94.62
2012-01;102.81
2011-12;110.72
2011-11;109.85
2011-10;110.96
2011-09;101.2
2011-08;100.25
2011-07;106.58
2011-06;100.68
2011-05;102.56
2011-04;99.0
2011-03;100.32
2011-02;100.85
2011-01;97.33
2010-12;97.24
2010-11;104.68
2010-10;98.48
2010-09;103.4
2010-08;102.66
2010-07;95.14
2010-06;98.71
2010-05;94.29
2010-04;99.26
2010-03;93.05
2010-02;93.83
2010-01;87.26
2009-12;92.02
2009-11;95.07
2009-10;92.55
2009-09;97.07
2009-08;85.78
2009-07;87.03
2009-06;87.88
2009-05;85.19
2009-04;78.55
2009-03;82.12
2009-02;81.53
2009-01;78.88
2008-12;91.43
2008-11;89.39
2008-10;98.54
2008-09;97.64
2008-08;102.3
2008-07;96.08
2008-06;91.4
2008-05;103.87
2008-04;101.87
2008-03;96.48
2008-02;94.65
2008-01;94.92
2007-12;89.48
2007-11;85.02
2007-10;108.08
2007-09;98.32
2007-08;100.37
2007-07;110.02
2007-06;106.92
2007-05;99.08
2007-04;105.78
2007-03;105.04
2007-02;117.33
2007-01;103.74
2006-12;104.42
2006-11;104.87
2006-10;93.1
2006-09;100.66
2006-08;95.03
2006-07;102.29
2006-06;101.6
2006-05;97.67
2006-04;97.66
2006-03;103.02
2006-02;94.85
2006-01;79.91
2005-12;99.68
2005-11;95.78
2005-10;84.85
2005-09;84.91
2005-08;99.2
2005-07;88.97
2005-06;91.2
2005-05;93.75
2005-04;89.06
2005-03;92.79
2005-02;83.0
2005-01;93.75
2004-12;86.91
2004-11;87.06
2004-10;92.57
2004-09;85.82
2004-08;79.98
2004-07;77.46
2004-06;81.73
2004-05;94.21
2004-04;93.22
2004-03;88.27
2004-02;100.29
2004-01;90.0
2003-12;76.78
2003-11;81.91
2003-10;77.49
2003-09;94.37
2003-08;79.0
2003-07;83.46
2003-06;76.76
2003-05;75.89
2003-04;82.24
2003-03;87.01
2003-02;96.2
2003-01;86.54
2002-12;71.41
2002-11;77.47
2002-10;84.3
2002-09;82.19
2002-08;87.15
2002-07;77.2
2002-06;85.74
2002-05;77.48
2002-04;80.21
2002-03;80.59
2002-02;73.99
2002-01;78.15
2001-12;83.86
2001-11;73.94
2001-10;71.89
2001-09;79.04
2001-08;70.6
2001-07;78.3
2001-06;83.47
2001-05;77.79
2001-04;68.07
2001-03;71.77
2001-02;72.17
2001-01;74.51
2000-12;77.25
2000-11;78.15
2000-10;85.93
2000-09;77.3
2000-08;74.78
2000-07;76.09
2000-06;74.96
2000-05;75.45
2000-04;80.22
2000-03;70.37
2000-02;68.2
2000-01;73.01
1999-12;78.56
1999-11;81.08
1999-10;69.17
1999-09;74.45
1999-08;78.77
1999-07;73.96
1999-06;65.9
1999-05;72.67
1999-04;70.28
1999-03;67.68
1999-02;72.19
1999-01;65.4
1998-12;63.39
1998-11;69.39
1998-10;83.51
1998-09;60.63
1998-08;66.3
1998-07;73.81
1998-06;79.62
1998-05;72.49
1998-04;73.44
