dates;indices
2022-03;101.27
2022-02;86.66
2022-01;87.63
2021-12;92.56
2021-11;100.13
2021-10;97.56
2021-09;103.55
2021-08;85.44
2021-07;97.17
2021-06;104.39
2021-05;91.48
2021-04;98.05
2021-03;105.33
2021-02;91.69
2021-01;95.75
2020-12;81.97
2020-11;85.42
2020-10;85.37
2020-09;86.67
2020-08;65.32
2020-07;71.81
2020-06;81.94
2020-05;67.9
2020-04;86.01
2020-03;93.42
2020-02;75.09
2020-01;82.29
2019-12;73.44
2019-11;81.33
2019-10;89.97
2019-09;90.44
2019-08;70.51
2019-07;90.86
2019-06;76.18
2019-05;79.83
2019-04;80.08
2019-03;79.93
2019-02;69.18
2019-01;82.28
2018-12;72.68
2018-11;76.43
2018-10;85.75
2018-09;77.97
2018-08;69.61
2018-07;76.22
2018-06;72.24
2018-05;75.33
2018-04;81.36
2018-03;81.41
2018-02;73.53
2018-01;71.48
2017-12;74.16
2017-11;79.14
2017-10;82.65
2017-09;85.0
2017-08;78.63
2017-07;71.18
2017-06;70.75
2017-05;76.88
2017-04;70.94
2017-03;81.7
2017-02;80.28
2017-01;76.86
2016-12;85.88
2016-11;79.01
2016-10;82.31
2016-09;82.76
2016-08;79.48
2016-07;71.63
2016-06;78.97
2016-05;81.84
2016-04;82.71
2016-03;93.13
2016-02;100.82
2016-01;87.92
2015-12;111.34
2015-11;100.62
2015-10;110.25
2015-09;107.98
2015-08;83.62
2015-07;87.9
2015-06;100.42
2015-05;92.99
2015-04;108.58
2015-03;98.42
2015-02;97.87
2015-01;100.0
2014-12;122.2
2014-11;94.37
2014-10;118.97
2014-09;108.13
2014-08;93.07
2014-07;101.17
2014-06;92.9
2014-05;93.51
2014-04;101.47
2014-03;85.96
2014-02;89.4
2014-01;89.0
2013-12;101.08
2013-11;95.59
2013-10;114.11
2013-09;106.28
2013-08;91.09
2013-07;97.83
2013-06;92.66
2013-05;104.87
2013-04;120.37
2013-03;100.15
2013-02;88.26
2013-01;94.34
2012-12;104.37
2012-11;96.46
2012-10;103.23
2012-09;88.27
2012-08;90.32
2012-07;96.18
2012-06;94.17
2012-05;102.38
2012-04;97.29
2012-03;102.65
2012-02;98.78
2012-01;99.36
2011-12;111.84
2011-11;105.63
2011-10;117.27
2011-09;102.57
2011-08;94.19
2011-07;109.25
2011-06;101.72
2011-05;101.66
2011-04;101.87
2011-03;102.98
2011-02;92.72
2011-01;107.74
2010-12;101.27
2010-11;106.78
2010-10;109.67
2010-09;97.02
2010-08;89.23
2010-07;107.14
2010-06;113.26
2010-05;93.97
2010-04;105.82
2010-03;104.28
2010-02;99.19
2010-01;106.91
2009-12;111.91
2009-11;106.35
2009-10;113.1
2009-09;110.27
2009-08;84.7
2009-07;103.11
2009-06;93.05
2009-05;87.95
2009-04;98.16
2009-03;90.84
2009-02;90.81
2009-01;93.73
2008-12;89.08
2008-11;82.17
2008-10;96.61
2008-09;96.01
2008-08;81.01
2008-07;94.08
2008-06;91.36
2008-05;87.79
2008-04;107.73
2008-03;98.2
2008-02;90.34
2008-01;99.49
2007-12;89.07
2007-11;106.27
2007-10;104.72
2007-09;88.24
2007-08;81.13
2007-07;87.92
2007-06;87.71
2007-05;87.44
2007-04;97.28
2007-03;92.87
2007-02;86.5
2007-01;96.65
2006-12;86.15
2006-11;88.25
2006-10;99.36
2006-09;90.63
2006-08;82.95
2006-07;78.44
2006-06;78.05
2006-05;98.22
2006-04;90.63
2006-03;82.87
2006-02;79.37
2006-01;86.24
2005-12;96.34
2005-11;95.21
2005-10;106.35
2005-09;101.16
2005-08;89.75
2005-07;84.19
2005-06;85.19
2005-05;108.0
2005-04;100.19
2005-03;89.53
2005-02;85.14
2005-01;91.87
2004-12;108.93
2004-11;110.12
2004-10;124.19
2004-09;116.94
2004-08;100.36
2004-07;96.13
2004-06;97.14
2004-05;127.7
2004-04;112.09
2004-03;102.93
2004-02;96.35
2004-01;105.8
2003-12;117.56
2003-11;118.49
2003-10;133.67
2003-09;126.8
2003-08;107.18
2003-07;102.99
2003-06;104.46
2003-05;138.69
2003-04;120.35
2003-03;110.62
2003-02;102.99
2003-01;113.38
2002-12;125.85
2002-11;127.46
2002-10;143.71
2002-09;134.74
2002-08;116.66
2002-07;111.55
2002-06;112.48
2002-05;146.98
2002-04;129.9
2002-03;119.21
2002-02;111.95
2002-01;122.75
2001-12;113.1
2001-11;115.02
2001-10;129.62
2001-09;120.32
2001-08;106.32
2001-07;101.25
2001-06;101.59
2001-05;130.94
2001-04;117.56
2001-03;107.74
2001-02;101.92
2001-01;111.37
2000-12;112.96
2000-11;114.87
2000-10;129.45
2000-09;120.17
2000-08;106.18
2000-07;101.11
2000-06;101.46
2000-05;130.78
2000-04;117.4
2000-03;107.6
2000-02;101.78
2000-01;111.23
1999-12;114.09
1999-11;116.26
1999-10;130.98
1999-09;121.02
1999-08;107.94
1999-07;102.6
1999-06;102.72
1999-05;131.56
1999-04;118.97
1999-03;108.96
1999-02;103.42
1999-01;112.84
1998-12;112.48
1998-11;114.52
1998-10;129.04
1998-09;119.46
1998-08;106.13
1998-07;100.95
1998-06;101.17
1998-05;129.92
1998-04;117.13
1998-03;107.31
1998-02;101.71
1998-01;111.04
1997-12;111.32
1997-11;112.92
1997-10;127.29
1997-09;118.92
1997-08;103.72
1997-07;99.02
1997-06;99.67
1997-05;129.61
1997-04;115.19
1997-03;105.66
1997-02;99.49
1997-01;108.95
1996-12;107.02
1996-11;108.53
1996-10;122.34
1996-09;114.35
1996-08;99.64
1996-07;95.15
1996-06;95.79
1996-05;124.65
1996-04;110.7
1996-03;101.55
1996-02;95.58
1996-01;104.69
1995-12;101.79
1995-11;103.34
1995-10;116.48
1995-09;108.56
1995-08;95.14
1995-07;90.75
1995-06;91.24
1995-05;118.26
1995-04;105.5
1995-03;96.74
1995-02;91.24
1995-01;99.84
1994-12;99.48
1994-11;100.69
1994-10;110.37
1994-09;107.83
1994-08;95.53
1994-07;91.83
1994-06;90.11
1994-05;112.16
1994-04;102.78
1994-03;94.05
1994-02;89.44
1994-01;95.06
1993-12;104.65
1993-11;98.12
1993-10;108.51
1993-09;110.27
1993-08;89.57
1993-07;92.08
1993-06;90.5
1993-05;105.07
1993-04;105.63
1993-03;92.98
1993-02;88.35
1993-01;92.2
1992-12;103.03
1992-11;95.94
1992-10;109.98
1992-09;108.03
1992-08;86.62
1992-07;96.38
1992-06;91.68
1992-05;108.98
1992-04;111.21
1992-03;92.89
1992-02;90.9
1992-01;100.12
1991-12;95.39
1991-11;97.97
1991-10;113.76
1991-09;100.94
1991-08;87.18
1991-07;98.56
1991-06;85.17
1991-05;111.98
1991-04;110.68
1991-03;91.1
1991-02;90.74
1991-01;100.78
1990-12;94.16
1990-11;96.03
1990-10;112.8
1990-09;97.19
1990-08;88.48
1990-07;91.35
1990-06;84.64
1990-05;113.5
1990-04;103.78
1990-03;90.46
1990-02;86.62
1990-01;93.82
