dates;indices
2022-03;98.72
2022-02;100.27
2022-01;99.44
2021-12;99.84
2021-11;97.38
2021-10;96.16
2021-09;98.43
2021-08;93.6
2021-07;99.44
2021-06;98.03
2021-05;91.62
2021-04;95.26
2021-03;92.82
2021-02;92.91
2021-01;92.16
2020-12;106.14
2020-11;95.59
2020-10;93.43
2020-09;93.79
2020-08;92.05
2020-07;90.3
2020-06;89.37
2020-05;73.99
2020-04;54.07
2020-03;75.93
2020-02;100.21
2020-01;100.62
2019-12;96.96
2019-11;102.21
2019-10;103.05
2019-09;101.89
2019-08;94.15
2019-07;102.84
2019-06;101.29
2019-05;110.64
2019-04;104.25
2019-03;105.66
2019-02;102.9
2019-01;104.46
2018-12;103.5
2018-11;102.11
2018-10;100.72
2018-09;101.0
2018-08;98.77
2018-07;101.87
2018-06;110.49
2018-05;105.68
2018-04;103.94
2018-03;105.54
2018-02;97.4
2018-01;97.95
2017-12;104.82
2017-11;98.97
2017-10;100.22
2017-09;102.78
2017-08;100.65
2017-07;99.55
2017-06;98.79
2017-05;98.87
2017-04;95.57
2017-03;99.36
2017-02;100.41
2017-01;101.93
2016-12;96.17
2016-11;103.34
2016-10;94.44
2016-09;96.61
2016-08;97.03
2016-07;99.69
2016-06;94.96
2016-05;96.47
2016-04;99.01
2016-03;99.39
2016-02;103.07
2016-01;105.0
2015-12;101.31
2015-11;99.61
2015-10;98.86
2015-09;100.85
2015-08;93.58
2015-07;95.9
2015-06;100.8
2015-05;105.99
2015-04;101.71
2015-03;99.28
2015-02;101.67
2015-01;100.44
2014-12;98.72
2014-11;96.64
2014-10;102.44
2014-09;101.33
2014-08;95.75
2014-07;100.02
2014-06;98.75
2014-05;93.95
2014-04;100.53
2014-03;99.3
2014-02;100.7
2014-01;100.2
2013-12;104.35
2013-11;102.68
2013-10;102.43
2013-09;99.85
2013-08;93.44
2013-07;100.12
2013-06;98.73
2013-05;101.59
2013-04;99.0
2013-03;99.07
2013-02;97.98
2013-01;97.6
2012-12;98.18
2012-11;95.68
2012-10;96.47
2012-09;97.98
2012-08;109.42
2012-07;100.13
2012-06;100.51
2012-05;100.58
2012-04;98.54
2012-03;98.94
2012-02;97.95
2012-01;98.48
2011-12;96.6
2011-11;99.02
2011-10;97.95
2011-09;99.08
2011-08;102.25
2011-07;101.02
2011-06;98.85
2011-05;98.42
2011-04;99.17
2011-03;99.96
2011-02;100.24
2011-01;97.15
2010-12;101.92
2010-11;101.4
2010-10;101.95
2010-09;102.1
2010-08;100.63
2010-07;99.91
2010-06;101.4
2010-05;98.07
2010-04;102.35
2010-03;101.59
2010-02;100.83
2010-01;96.48
2009-12;101.39
2009-11;96.09
2009-10;94.68
2009-09;94.27
2009-08;99.26
2009-07;91.27
2009-06;91.11
2009-05;95.02
2009-04;96.08
2009-03;97.69
2009-02;99.94
2009-01;100.78
2008-12;101.76
2008-11;104.97
2008-10;110.17
2008-09;113.04
2008-08;117.29
2008-07;117.13
2008-06;123.5
2008-05;122.71
2008-04;132.91
2008-03;129.61
2008-02;131.6
2008-01;131.25
2007-12;126.49
2007-11;130.05
2007-10;131.42
2007-09;129.49
2007-08;133.35
2007-07;134.72
2007-06;137.44
2007-05;139.12
2007-04;132.13
2007-03;136.88
2007-02;135.79
2007-01;135.39
2006-12;138.92
2006-11;135.21
2006-10;136.01
2006-09;132.59
2006-08;136.38
2006-07;139.93
2006-06;135.82
2006-05;140.81
2006-04;138.02
2006-03;144.7
2006-02;140.66
2006-01;140.66
2005-12;147.47
2005-11;145.59
2005-10;141.64
2005-09;150.1
2005-08;145.87
2005-07;156.9
2005-06;154.74
2005-05;150.8
2005-04;157.72
2005-03;157.48
2005-02;163.08
2005-01;168.68
2004-12;169.52
2004-11;170.61
2004-10;174.67
2004-09;179.61
2004-08;168.93
2004-07;177.67
2004-06;178.07
2004-05;179.23
2004-04;180.85
2004-03;182.52
2004-02;182.95
2004-01;181.01
2003-12;185.0
2003-11;183.84
2003-10;185.92
2003-09;186.99
2003-08;195.85
2003-07;190.57
2003-06;195.1
2003-05;196.82
2003-04;200.86
2003-03;202.3
2003-02;204.0
2003-01;202.39
2002-12;202.17
2002-11;208.71
2002-10;206.9
2002-09;203.13
2002-08;212.92
2002-07;202.78
2002-06;222.14
2002-05;212.74
2002-04;217.14
2002-03;214.74
2002-02;212.73
2002-01;208.91
2001-12;200.71
2001-11;203.69
2001-10;216.72
2001-09;221.38
2001-08;211.62
2001-07;223.46
2001-06;224.45
2001-05;227.51
2001-04;228.68
2001-03;230.96
2001-02;231.78
2001-01;236.53
2000-12;226.29
2000-11;225.72
2000-10;225.96
2000-09;232.56
2000-08;224.56
2000-07;234.77
2000-06;228.22
2000-05;231.91
2000-04;228.22
2000-03;235.34
2000-02;231.42
2000-01;232.47
1999-12;234.64
1999-11;233.97
1999-10;239.08
1999-09;233.64
1999-08;229.98
1999-07;234.69
1999-06;237.96
1999-05;234.52
1999-04;234.98
1999-03;236.42
1999-02;234.52
1999-01;234.73
1998-12;236.89
1998-11;245.49
1998-10;241.68
1998-09;244.89
1998-08;240.38
1998-07;238.3
1998-06;245.61
1998-05;245.57
1998-04;245.53
1998-03;247.71
1998-02;246.34
1998-01;248.32
1997-12;249.41
1997-11;241.7
1997-10;246.91
1997-09;240.78
1997-08;248.01
1997-07;241.33
1997-06;242.45
1997-05;241.47
1997-04;242.45
1997-03;235.07
1997-02;238.9
1997-01;236.06
1996-12;234.17
1996-11;240.8
1996-10;236.19
1996-09;235.92
1996-08;240.15
1996-07;232.82
1996-06;233.68
1996-05;233.4
1996-04;231.61
1996-03;230.75
1996-02;231.56
1996-01;227.42
1995-12;233.75
1995-11;235.69
1995-10;233.62
1995-09;235.04
1995-08;235.3
1995-07;242.84
1995-06;237.79
1995-05;232.32
1995-04;239.82
1995-03;241.92
1995-02;244.9
1995-01;242.07
1994-12;247.12
1994-11;245.63
1994-10;235.71
1994-09;240.81
1994-08;234.78
1994-07;242.04
1994-06;239.21
1994-05;238.04
1994-04;235.66
1994-03;236.44
1994-02;232.89
1994-01;229.25
1993-12;225.0
1993-11;222.81
1993-10;220.54
1993-09;222.79
1993-08;218.92
1993-07;227.24
1993-06;221.69
1993-05;224.29
1993-04;223.73
1993-03;223.3
1993-02;223.39
1993-01;224.42
1992-12;228.06
1992-11;234.71
1992-10;233.93
1992-09;235.58
1992-08;233.14
1992-07;230.68
1992-06;235.63
1992-05;237.92
1992-04;240.76
1992-03;244.25
1992-02;244.63
1992-01;247.21
1991-12;236.51
1991-11;237.99
1991-10;237.66
1991-09;239.23
1991-08;245.4
1991-07;241.3
1991-06;246.11
1991-05;244.46
1991-04;243.53
1991-03;240.1
1991-02;243.88
1991-01;247.46
1990-12;256.61
1990-11;254.88
1990-10;260.33
1990-09;256.47
1990-08;239.46
1990-07;250.59
1990-06;259.29
1990-05;262.22
1990-04;260.2
1990-03;262.24
1990-02;266.9
1990-01;267.3
