dates;indices
2022-03;91.9
2022-02;94.04
2022-01;93.91
2021-12;104.94
2021-11;95.18
2021-10;96.97
2021-09;93.85
2021-08;77.91
2021-07;90.56
2021-06;90.19
2021-05;86.37
2021-04;87.55
2021-03;86.32
2021-02;86.43
2021-01;84.48
2020-12;128.64
2020-11;94.54
2020-10;82.79
2020-09;80.14
2020-08;71.39
2020-07;82.36
2020-06;100.11
2020-05;86.54
2020-04;55.67
2020-03;85.91
2020-02;105.9
2020-01;105.05
2019-12;99.68
2019-11;101.75
2019-10;109.19
2019-09;103.7
2019-08;102.01
2019-07;105.16
2019-06;104.59
2019-05;111.48
2019-04;105.34
2019-03;102.56
2019-02;104.58
2019-01;108.37
2018-12;107.3
2018-11;105.55
2018-10;106.19
2018-09;104.49
2018-08;107.17
2018-07;106.46
2018-06;108.97
2018-05;103.88
2018-04;105.13
2018-03;105.25
2018-02;101.63
2018-01;102.45
2017-12;108.01
2017-11;97.56
2017-10;100.39
2017-09;103.57
2017-08;109.0
2017-07;101.27
2017-06;101.59
2017-05;102.22
2017-04;97.16
2017-03;96.39
2017-02;94.5
2017-01;93.11
2016-12;93.48
2016-11;100.13
2016-10;100.08
2016-09;102.87
2016-08;98.7
2016-07;98.07
2016-06;94.91
2016-05;101.73
2016-04;97.77
2016-03;101.22
2016-02;103.29
2016-01;102.51
2015-12;94.22
2015-11;98.36
2015-10;95.6
2015-09;100.94
2015-08;98.17
2015-07;98.53
2015-06;99.3
2015-05;97.98
2015-04;100.1
2015-03;104.96
2015-02;105.77
2015-01;106.07
2014-12;110.32
2014-11;102.86
2014-10;113.75
2014-09;98.61
2014-08;92.94
2014-07;105.88
2014-06;101.57
2014-05;95.86
2014-04;103.02
2014-03;96.04
2014-02;95.2
2014-01;92.0
2013-12;113.62
2013-11;100.86
2013-10;97.28
2013-09;96.41
2013-08;83.12
2013-07;95.47
2013-06;95.15
2013-05;95.7
2013-04;95.93
2013-03;91.59
2013-02;91.95
2013-01;92.27
2012-12;86.78
2012-11;88.6
2012-10;91.75
2012-09;91.65
2012-08;101.23
2012-07;91.32
2012-06;90.65
2012-05;97.01
2012-04;92.85
2012-03;91.72
2012-02;92.61
2012-01;92.47
2011-12;86.8
2011-11;92.99
2011-10;92.53
2011-09;92.3
2011-08;89.17
2011-07;89.98
2011-06;90.07
2011-05;87.49
2011-04;87.69
2011-03;90.71
2011-02;87.73
2011-01;80.4
2010-12;88.29
2010-11;87.86
2010-10;85.51
2010-09;90.1
2010-08;90.82
2010-07;91.11
2010-06;86.72
2010-05;84.89
2010-04;83.53
2010-03;85.84
2010-02;85.62
2010-01;83.68
2009-12;79.42
2009-11;76.8
2009-10;72.7
2009-09;70.64
2009-08;95.96
2009-07;73.17
2009-06;62.98
2009-05;75.48
2009-04;77.46
2009-03;75.15
2009-02;83.54
2009-01;86.88
2008-12;92.71
2008-11;93.67
2008-10;99.66
2008-09;104.34
2008-08;117.26
2008-07;106.88
2008-06;117.94
2008-05;106.46
2008-04;116.45
2008-03;119.79
2008-02;119.51
2008-01;116.37
2007-12;115.97
2007-11;118.32
2007-10;124.8
2007-09;122.55
2007-08;126.88
2007-07;130.47
2007-06;133.29
2007-05;131.44
2007-04;127.64
2007-03;131.25
2007-02;128.4
2007-01;130.86
2006-12;137.95
2006-11;136.81
2006-10;137.27
2006-09;135.51
2006-08;138.79
2006-07;154.79
2006-06;133.88
2006-05;143.01
2006-04;138.63
2006-03;136.75
2006-02;139.26
2006-01;141.24
2005-12;137.12
2005-11;142.59
2005-10;130.8
2005-09;144.13
2005-08;138.21
2005-07;158.43
2005-06;142.06
2005-05;142.5
2005-04;154.24
2005-03;151.2
2005-02;150.33
2005-01;158.63
2004-12;159.19
2004-11;160.29
2004-10;167.3
2004-09;178.36
2004-08;176.44
2004-07;168.52
2004-06;176.52
2004-05;171.26
2004-04;171.4
2004-03;173.01
2004-02;174.16
2004-01;173.45
2003-12;181.88
2003-11;179.41
2003-10;181.54
2003-09;182.86
2003-08;197.84
2003-07;190.31
2003-06;195.02
2003-05;195.7
2003-04;198.74
2003-03;203.15
2003-02;207.52
2003-01;205.93
2002-12;205.43
2002-11;206.19
2002-10;206.94
2002-09;207.56
2002-08;213.89
2002-07;198.81
2002-06;246.93
2002-05;222.11
2002-04;230.42
2002-03;221.65
2002-02;218.48
2002-01;211.62
2001-12;195.61
2001-11;204.78
2001-10;229.08
2001-09;234.31
2001-08;204.44
2001-07;237.65
2001-06;233.92
2001-05;235.78
2001-04;238.76
2001-03;239.12
2001-02;236.48
2001-01;248.52
2000-12;222.19
2000-11;223.46
2000-10;223.08
2000-09;225.58
2000-08;219.8
2000-07;230.67
2000-06;219.81
2000-05;222.34
2000-04;215.2
2000-03;232.27
2000-02;216.8
2000-01;220.19
1999-12;218.05
1999-11;219.64
1999-10;226.19
1999-09;222.53
1999-08;219.1
1999-07;221.5
1999-06;226.69
1999-05;221.31
1999-04;226.99
1999-03;223.52
1999-02;226.3
1999-01;226.62
1998-12;231.71
1998-11;239.19
1998-10;237.06
1998-09;237.95
1998-08;230.54
1998-07;229.07
1998-06;247.75
1998-05;240.93
1998-04;247.0
1998-03;247.5
1998-02;244.65
1998-01;245.17
1997-12;241.54
1997-11;234.51
1997-10;241.44
1997-09;236.43
1997-08;238.81
1997-07;234.53
1997-06;237.3
1997-05;237.64
1997-04;234.77
1997-03;229.6
1997-02;231.15
1997-01;229.6
1996-12;225.61
1996-11;227.81
1996-10;226.24
1996-09;225.94
1996-08;231.03
1996-07;223.37
1996-06;221.82
1996-05;225.44
1996-04;219.85
1996-03;219.2
1996-02;221.01
1996-01;212.31
1995-12;224.41
1995-11;225.59
1995-10;218.05
1995-09;218.84
1995-08;219.78
1995-07;224.48
1995-06;222.82
1995-05;219.43
1995-04;213.97
1995-03;224.56
1995-02;223.48
1995-01;224.92
1994-12;225.24
1994-11;222.26
1994-10;215.88
1994-09;225.27
1994-08;219.23
1994-07;224.19
1994-06;218.83
1994-05;216.36
