dates;indices
2022-03;45.52
2022-02;42.9
2022-01;39.6
2021-12;37.59
2021-11;36.6
2021-10;37.45
2021-09;32.23
2021-08;36.97
2021-07;49.48
2021-06;41.66
2021-05;38.5
2021-04;35.36
2021-03;37.18
2021-02;35.58
2021-01;36.91
2020-12;53.63
2020-11;35.85
2020-10;51.38
2020-09;51.97
2020-08;73.83
2020-07;45.17
2020-06;35.21
2020-05;27.58
2020-04;12.83
2020-03;29.69
2020-02;62.69
2020-01;70.02
2019-12;58.91
2019-11;48.96
2019-10;49.29
2019-09;39.87
2019-08;84.57
2019-07;68.67
2019-06;58.52
2019-05;51.65
2019-04;52.0
2019-03;54.84
2019-02;64.55
2019-01;70.47
2018-12;55.0
2018-11;60.58
2018-10;57.28
2018-09;60.48
2018-08;70.66
2018-07;61.14
2018-06;69.02
2018-05;78.87
2018-04;76.71
2018-03;69.35
2018-02;71.26
2018-01;74.75
2017-12;67.69
2017-11;79.55
2017-10;88.83
2017-09;68.7
2017-08;64.61
2017-07;66.21
2017-06;71.5
2017-05;74.96
2017-04;85.44
2017-03;82.17
2017-02;74.79
2017-01;75.2
2016-12;85.67
2016-11;96.28
2016-10;95.41
2016-09;91.82
2016-08;81.41
2016-07;81.8
2016-06;79.46
2016-05;90.09
2016-04;96.28
2016-03;99.23
2016-02;95.82
2016-01;92.47
2015-12;95.12
2015-11;98.27
2015-10;96.18
2015-09;106.64
2015-08;104.17
2015-07;97.18
2015-06;101.73
2015-05;102.61
2015-04;95.16
2015-03;101.86
2015-02;98.35
2015-01;102.73
2014-12;135.71
2014-11;100.38
2014-10;116.25
2014-09;116.36
2014-08;113.89
2014-07;145.27
2014-06;133.55
2014-05;125.3
2014-04;130.21
2014-03;121.62
2014-02;124.21
2014-01;116.86
2013-12;119.74
2013-11;106.16
2013-10;98.72
2013-09;111.47
2013-08;97.24
2013-07;89.6
2013-06;95.53
2013-05;91.96
2013-04;86.57
2013-03;73.81
2013-02;83.85
2013-01;98.12
2012-12;152.9
2012-11;149.13
2012-10;161.68
2012-09;156.44
2012-08;166.63
2012-07;168.89
2012-06;119.25
2012-05;155.31
2012-04;161.7
2012-03;151.81
2012-02;112.16
2012-01;161.28
2011-12;178.31
2011-11;136.74
2011-10;136.92
2011-09;121.07
2011-08;137.56
2011-07;169.7
2011-06;173.22
2011-05;194.24
2011-04;181.63
2011-03;205.38
2011-02;161.0
2011-01;133.38
2010-12;124.21
2010-11;123.6
2010-10;114.88
2010-09;126.78
2010-08;156.17
2010-07;139.93
2010-06;136.18
2010-05;148.94
2010-04;147.4
2010-03;166.07
2010-02;164.65
2010-01;142.92
2009-12;147.78
2009-11;173.71
2009-10;178.15
2009-09;176.43
2009-08;168.73
2009-07;191.71
2009-06;164.64
2009-05;151.54
2009-04;195.85
2009-03;214.59
2009-02;226.0
2009-01;243.9
2008-12;324.63
2008-11;261.83
2008-10;259.55
2008-09;255.89
2008-08;293.53
2008-07;256.76
2008-06;272.85
2008-05;232.01
2008-04;282.39
2008-03;274.61
2008-02;314.8
2008-01;307.34
2007-12;296.14
2007-11;308.4
2007-10;340.11
2007-09;325.36
2007-08;342.53
2007-07;354.23
2007-06;376.62
2007-05;347.43
2007-04;382.82
2007-03;397.07
2007-02;408.59
2007-01;336.24
2006-12;440.99
2006-11;427.07
2006-10;435.07
2006-09;491.48
2006-08;495.73
2006-07;415.23
2006-06;403.88
2006-05;441.82
2006-04;436.72
2006-03;452.71
