dates;indices
2022-03;116.26
2022-02;108.29
2022-01;103.55
2021-12;95.57
2021-11;103.53
2021-10;107.95
2021-09;110.21
2021-08;104.84
2021-07;105.67
2021-06;117.74
2021-05;101.32
2021-04;94.04
2021-03;92.28
2021-02;92.62
2021-01;90.21
2020-12;89.08
2020-11;81.26
2020-10;88.42
2020-09;83.17
2020-08;85.68
2020-07;79.46
2020-06;73.03
2020-05;42.86
2020-04;31.28
2020-03;72.26
2020-02;93.5
2020-01;101.45
2019-12;95.75
2019-11;99.08
2019-10;92.81
2019-09;96.36
2019-08;85.55
2019-07;103.53
2019-06;94.42
2019-05;90.32
2019-04;97.14
2019-03;95.02
2019-02;103.34
2019-01;100.51
2018-12;96.32
2018-11;94.92
2018-10;97.8
2018-09;95.38
2018-08;98.06
2018-07;93.24
2018-06;102.45
2018-05;99.43
2018-04;99.9
2018-03;98.23
2018-02;98.76
2018-01;95.53
2017-12;96.7
2017-11;97.61
2017-10;100.22
2017-09;97.33
2017-08;109.61
2017-07;100.26
2017-06;101.11
2017-05;103.39
2017-04;98.32
2017-03;101.26
2017-02;97.51
2017-01;97.79
2016-12;98.19
2016-11;102.6
2016-10;96.46
2016-09;101.07
2016-08;99.76
2016-07;97.74
2016-06;92.93
2016-05;96.86
2016-04;90.81
2016-03;100.59
2016-02;102.12
2016-01;100.71
2015-12;101.61
2015-11;98.33
2015-10;102.7
2015-09;103.13
2015-08;101.33
2015-07;105.05
2015-06;88.97
2015-05;102.04
2015-04;101.44
2015-03;104.15
2015-02;92.09
2015-01;99.18
2014-12;102.09
2014-11;99.94
2014-10;97.88
2014-09;117.76
2014-08;98.97
2014-07;100.81
2014-06;99.17
2014-05;99.41
2014-04;102.2
2014-03;96.56
2014-02;99.35
2014-01;100.15
2013-12;101.71
2013-11;100.73
2013-10;97.4
2013-09;97.39
2013-08;99.28
2013-07;93.68
2013-06;102.19
2013-05;98.42
2013-04;100.67
2013-03;91.9
2013-02;96.97
2013-01;97.1
2012-12;97.77
2012-11;95.22
2012-10;102.07
2012-09;98.33
2012-08;105.55
2012-07;97.78
2012-06;97.79
2012-05;114.17
2012-04;98.37
2012-03;98.94
2012-02;100.49
2012-01;88.39
2011-12;97.65
2011-11;103.58
2011-10;103.16
2011-09;101.52
2011-08;102.04
2011-07;106.24
2011-06;105.27
2011-05;102.89
2011-04;104.89
2011-03;108.28
2011-02;103.13
2011-01;104.04
2010-12;102.77
2010-11;105.32
2010-10;101.5
2010-09;101.62
2010-08;95.98
2010-07;101.67
2010-06;88.76
2010-05;110.35
2010-04;99.82
2010-03;100.4
2010-02;98.93
2010-01;86.9
2009-12;106.57
2009-11;99.34
2009-10;96.23
2009-09;94.74
2009-08;88.83
2009-07;91.09
2009-06;95.24
2009-05;89.98
2009-04;85.18
2009-03;86.24
2009-02;76.77
2009-01;75.49
2008-12;102.92
2008-11;98.79
2008-10;98.81
2008-09;102.49
2008-08;105.72
2008-07;109.08
2008-06;99.58
2008-05;101.49
2008-04;106.32
2008-03;107.52
2008-02;111.55
2008-01;107.93
2007-12;105.99
2007-11;105.31
2007-10;119.33
2007-09;109.05
2007-08;113.5
2007-07;105.58
2007-06;110.17
2007-05;115.89
2007-04;108.49
2007-03;103.98
2007-02;112.17
2007-01;107.55
2006-12;107.82
2006-11;103.44
2006-10;107.75
2006-09;102.51
2006-08;103.97
2006-07;98.92
2006-06;109.78
2006-05;104.39
2006-04;104.23
2006-03;104.54
2006-02;92.28
2006-01;98.8
2005-12;101.18
2005-11;100.63
2005-10;89.53
2005-09;99.13
2005-08;103.12
2005-07;98.75
2005-06;91.4
2005-05;93.14
2005-04;94.24
2005-03;89.25
2005-02;103.69
2005-01;97.58
2004-12;93.87
2004-11;98.15
2004-10;84.19
2004-09;95.78
2004-08;92.25
2004-07;99.0
2004-06;97.18
2004-05;97.08
2004-04;94.19
2004-03;95.2
2004-02;95.8
2004-01;94.71
2003-12;93.09
2003-11;93.4
2003-10;94.01
2003-09;94.95
2003-08;88.87
2003-07;93.9
2003-06;93.91
2003-05;89.5
2003-04;98.66
2003-03;93.13
2003-02;89.56
2003-01;92.26
2002-12;88.66
2002-11;94.41
2002-10;90.0
2002-09;90.62
2002-08;92.52
2002-07;90.98
2002-06;91.45
2002-05;94.11
2002-04;94.32
2002-03;95.91
2002-02;91.19
2002-01;78.67
2001-12;88.81
2001-11;85.58
2001-10;86.29
2001-09;87.32
2001-08;89.3
2001-07;79.27
2001-06;81.43
2001-05;86.07
2001-04;82.36
2001-03;79.33
2001-02;72.75
2001-01;67.79
2000-12;85.11
2000-11;86.2
2000-10;81.13
2000-09;81.22
2000-08;78.44
2000-07;81.92
2000-06;84.87
2000-05;71.83
2000-04;72.09
2000-03;63.18
2000-02;74.12
2000-01;76.96
1999-12;79.01
1999-11;104.14
1999-10;110.52
1999-09;112.36
1999-08;113.3
1999-07;107.15
1999-06;116.1
1999-05;105.71
1999-04;101.08
1999-03;101.97
1999-02;103.0
1999-01;98.7
1998-12;89.56
1998-11;94.51
1998-10;93.0
1998-09;88.09
1998-08;88.22
1998-07;95.2
1998-06;90.91
1998-05;93.09
1998-04;87.4
1998-03;91.35
1998-02;90.32
1998-01;92.04
1997-12;88.06
1997-11;83.04
1997-10;89.88
1997-09;86.16
1997-08;85.36
1997-07;83.31
1997-06;80.08
1997-05;82.04
1997-04;86.72
1997-03;79.94
1997-02;88.4
1997-01;77.18
1996-12;91.21
1996-11;79.03
1996-10;74.4
1996-09;80.15
1996-08;81.97
1996-07;77.81
1996-06;76.53
1996-05;83.94
1996-04;79.17
1996-03;81.15
1996-02;75.77
1996-01;79.26
1995-12;75.73
1995-11;78.8
1995-10;77.98
1995-09;80.97
1995-08;75.19
1995-07;89.69
1995-06;79.9
1995-05;75.05
1995-04;81.54
1995-03;77.23
1995-02;77.47
1995-01;76.88
1994-12;78.82
1994-11;82.07
