dates;indices
2022-03;100.15
2022-02;95.14
2022-01;96.15
2021-12;97.83
2021-11;97.61
2021-10;95.62
2021-09;85.38
2021-08;88.25
2021-07;92.47
2021-06;97.14
2021-05;88.61
2021-04;88.55
2021-03;91.73
2021-02;88.92
2021-01;93.86
2020-12;91.7
2020-11;89.82
2020-10;96.09
2020-09;104.38
2020-08;105.9
2020-07;100.65
2020-06;99.25
2020-05;78.96
2020-04;76.68
2020-03;91.83
2020-02;98.12
2020-01;87.16
2019-12;99.62
2019-11;99.89
2019-10;93.67
2019-09;90.54
2019-08;94.37
2019-07;93.69
2019-06;92.77
2019-05;97.51
2019-04;97.94
2019-03;100.99
2019-02;97.64
2019-01;100.45
2018-12;93.82
2018-11;96.45
2018-10;97.46
2018-09;106.2
2018-08;111.72
2018-07;91.12
2018-06;99.78
2018-05;101.33
2018-04;93.94
2018-03;97.04
2018-02;96.49
2018-01;95.75
2017-12;95.01
2017-11;98.3
2017-10;96.16
2017-09;102.47
2017-08;100.0
2017-07;102.8
2017-06;105.81
2017-05;97.46
2017-04;101.93
2017-03;98.12
2017-02;100.96
2017-01;86.28
2016-12;104.26
2016-11;102.04
2016-10;105.06
2016-09;107.51
2016-08;100.97
2016-07;90.12
2016-06;92.22
2016-05;93.8
2016-04;95.22
2016-03;98.08
2016-02;97.82
2016-01;98.59
2015-12;112.86
2015-11;98.32
2015-10;87.82
2015-09;99.76
2015-08;99.5
2015-07;100.7
2015-06;100.8
2015-05;103.9
2015-04;99.63
2015-03;105.04
2015-02;95.28
2015-01;96.38
2014-12;97.55
2014-11;96.11
2014-10;96.49
2014-09;91.33
2014-08;92.56
2014-07;98.12
2014-06;95.31
2014-05;94.96
2014-04;95.54
2014-03;86.54
2014-02;88.25
2014-01;85.9
2013-12;83.09
2013-11;86.38
2013-10;84.32
2013-09;82.52
2013-08;93.32
2013-07;83.51
2013-06;72.99
2013-05;84.3
2013-04;87.54
2013-03;88.41
2013-02;88.38
2013-01;91.56
2012-12;95.19
2012-11;89.72
2012-10;91.81
2012-09;94.11
2012-08;91.09
2012-07;82.27
2012-06;88.9
2012-05;84.04
2012-04;87.42
2012-03;101.13
2012-02;94.44
2012-01;83.28
2011-12;89.51
2011-11;90.03
2011-10;90.0
2011-09;91.14
2011-08;76.79
2011-07;88.65
2011-06;89.65
2011-05;89.3
2011-04;84.22
2011-03;85.93
2011-02;89.5
2011-01;88.46
2010-12;85.87
2010-11;85.03
2010-10;83.27
2010-09;85.07
2010-08;89.83
2010-07;96.38
2010-06;83.49
2010-05;85.65
2010-04;86.06
2010-03;79.6
2010-02;79.4
2010-01;80.51
2009-12;77.21
2009-11;79.06
2009-10;84.84
2009-09;92.22
2009-08;83.95
2009-07;83.96
2009-06;81.29
2009-05;81.49
2009-04;79.15
2009-03;78.92
2009-02;74.15
2009-01;75.08
2008-12;83.17
2008-11;76.27
2008-10;73.7
2008-09;74.73
2008-08;70.39
2008-07;73.75
2008-06;68.11
2008-05;75.73
2008-04;76.92
2008-03;82.77
2008-02;84.09
2008-01;84.12
2007-12;80.69
2007-11;80.78
2007-10;80.21
2007-09;73.96
2007-08;69.94
2007-07;67.2
2007-06;81.6
2007-05;92.05
2007-04;85.83
2007-03;83.15
2007-02;79.88
2007-01;84.0
2006-12;78.22
2006-11;78.86
2006-10;83.42
2006-09;82.8
2006-08;93.87
2006-07;84.0
2006-06;81.2
2006-05;79.37
2006-04;74.48
2006-03;79.64
2006-02;79.36
2006-01;74.77
2005-12;78.43
2005-11;80.01
2005-10;73.54
2005-09;77.47
2005-08;74.13
2005-07;81.05
2005-06;74.04
2005-05;77.48
2005-04;78.3
2005-03;74.47
2005-02;77.95
2005-01;79.81
2004-12;84.51
2004-11;82.89
2004-10;83.1
2004-09;80.21
2004-08;80.93
2004-07;75.71
2004-06;87.46
2004-05;79.76
2004-04;84.0
2004-03;81.11
2004-02;79.38
2004-01;82.39
2003-12;75.14
2003-11;73.6
2003-10;79.96
2003-09;89.46
2003-08;101.63
2003-07;86.49
2003-06;80.8
2003-05;78.36
2003-04;78.07
2003-03;79.81
2003-02;79.72
2003-01;74.66
2002-12;78.0
2002-11;76.05
2002-10;77.11
2002-09;70.07
2002-08;73.04
2002-07;68.75
2002-06;64.41
2002-05;79.66
2002-04;79.75
2002-03;77.26
2002-02;77.13
2002-01;74.86
2001-12;73.85
2001-11;71.77
2001-10;72.54
2001-09;72.93
2001-08;78.01
2001-07;74.73
2001-06;73.4
2001-05;69.62
2001-04;69.01
2001-03;70.14
2001-02;71.43
2001-01;69.8
2000-12;72.41
2000-11;70.74
2000-10;75.07
2000-09;73.58
2000-08;69.22
2000-07;70.4
2000-06;72.55
2000-05;70.38
2000-04;66.87
2000-03;67.69
2000-02;69.18
2000-01;71.73
1999-12;68.79
1999-11;72.45
1999-10;68.85
1999-09;74.49
1999-08;67.86
1999-07;71.67
1999-06;64.94
1999-05;66.85
1999-04;69.16
1999-03;66.66
1999-02;63.83
1999-01;67.98
1998-12;65.06
1998-11;65.86
1998-10;63.55
1998-09;62.9
1998-08;66.27
1998-07;65.45
1998-06;68.72
1998-05;70.55
1998-04;63.08
1998-03;67.88
1998-02;73.0
1998-01;67.87
1997-12;67.52
1997-11;59.46
1997-10;73.75
1997-09;73.28
1997-08;70.32
1997-07;59.88
1997-06;65.17
